# Run 4: x_init=0.163, y_init=0.476, heading_init=-2.088, lightX=0.461, lightY=0.105
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight
0,0.158286,0.467762,-3.366030,0.478999,0.412998,0.242995,0.223667,-0.354077,0.052579
1,0.148536,0.469988,-4.269016,0.000000,0.000000,0.000000,0.231290,-0.250982,0.036448
2,0.144247,0.479021,-5.201862,0.000000,0.000000,0.000000,0.240674,-0.259175,0.037759
3,0.148948,0.487847,-6.140544,0.000000,0.000000,0.000000,0.244405,-0.260709,0.038082
4,0.158847,0.489268,-7.038507,0.000000,0.000000,0.000000,0.239413,-0.249435,0.036395
5,0.166127,0.482413,-8.053320,0.000000,0.130995,0.320997,0.229836,-0.281182,0.041843
6,0.164147,0.472611,-9.366626,0.445999,0.438999,0.368998,0.223697,-0.363677,0.054361
7,0.154164,0.472030,-10.260475,0.000000,0.000000,0.000000,0.229300,-0.248279,0.036242
8,0.147457,0.479448,-11.220403,0.000000,0.000000,0.000000,0.238969,-0.266625,0.038930
9,0.149687,0.489196,-12.162226,0.000000,0.000000,0.000000,0.244980,-0.261715,0.038076
10,0.158881,0.493128,-13.094810,0.000000,0.000000,0.000000,0.242377,-0.259065,0.037786
11,0.167517,0.488086,-14.094672,0.000000,0.000000,0.167994,0.233338,-0.277720,0.040546
12,0.167942,0.478095,-15.373911,0.372998,0.411998,0.389998,0.225524,-0.354188,0.053006
13,0.158495,0.474817,-16.371916,0.136995,0.000000,0.000000,0.228715,-0.277908,0.039767
14,0.150619,0.480979,-17.300985,0.000000,0.000000,0.000000,0.238146,-0.258092,0.037640
15,0.150841,0.490976,-18.279852,0.000000,0.000000,0.000000,0.245635,-0.271828,0.039755
16,0.159262,0.496370,-19.227777,0.000000,0.000000,0.000000,0.244678,-0.263242,0.038492
17,0.168555,0.492678,-20.112482,0.000000,0.000000,0.000000,0.236272,-0.245839,0.035771
18,0.171585,0.483148,-21.315945,0.238995,0.350997,0.381998,0.227201,-0.333066,0.050008
19,0.163780,0.476897,-22.496967,0.335997,0.112996,0.000000,0.227089,-0.328657,0.047274
20,0.155032,0.481743,-23.404924,0.000000,0.000000,0.000000,0.236000,-0.252283,0.036729
21,0.153468,0.491619,-24.374319,0.000000,0.000000,0.000000,0.244509,-0.269247,0.039320
22,0.160727,0.498497,-25.363071,0.000000,0.000000,0.000000,0.245466,-0.274617,0.040113
23,0.170463,0.496214,-26.297354,0.000000,0.000000,0.000000,0.237917,-0.259504,0.037887
24,0.174414,0.487028,-27.399374,0.145995,0.300996,0.354997,0.228524,-0.304893,0.045891
25,0.168004,0.479353,-28.585217,0.373998,0.243996,0.000000,0.226429,-0.329332,0.048133
26,0.158483,0.482412,-29.470284,0.000000,0.000000,0.000000,0.234404,-0.245923,0.035802
