# Run 2: x_init=0.486, y_init=0.419, heading_init=-2.875, lightX=0.595, lightY=0.757
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight
63,0.413074,0.470684,-40.277328,0.000000,0.000000,0.000000,0.115154,-0.122310,0.017505
64,0.404620,0.465344,-40.797516,0.000000,0.107996,0.000000,0.121392,-0.144120,0.021461
65,0.394629,0.464912,-41.313541,0.000000,0.000000,0.000000,0.125553,-0.143655,0.020601
66,0.385726,0.469466,-41.786213,0.000000,0.000000,0.000000,0.126565,-0.131534,0.018921
67,0.379873,0.477574,-42.319695,0.000000,0.000000,0.000000,0.124456,-0.148572,0.021241
68,0.378956,0.487532,-42.809208,0.000000,0.000000,0.000000,0.119386,-0.136213,0.019604
69,0.382829,0.496751,-43.296326,0.000000,0.000000,0.000000,0.112842,-0.135615,0.019440
70,0.390567,0.503086,-43.832973,0.000000,0.000000,0.160994,0.106358,-0.149506,0.021313
71,0.400456,0.504573,-44.476162,0.183994,0.261996,0.259996,0.101655,-0.178492,0.026241
72,0.409261,0.499833,-45.184208,0.324997,0.245996,0.038998,0.100717,-0.197208,0.028170
73,0.412867,0.490506,-45.640453,0.040998,0.000000,0.000000,0.104273,-0.127203,0.018025
74,0.411994,0.480544,-46.115524,0.000000,0.000000,0.000000,0.110000,-0.132213,0.019007
75,0.406662,0.472084,-46.637527,0.000000,0.000000,0.000000,0.116732,-0.145318,0.020841
76,0.397821,0.467410,-47.172756,0.000000,0.000000,0.000000,0.122829,-0.149007,0.021361
77,0.387833,0.467899,-47.725380,0.000000,0.000000,0.000000,0.126590,-0.153762,0.022143
78,0.379588,0.473557,-48.273369,0.000000,0.000000,0.000000,0.126839,-0.152608,0.021823
79,0.375499,0.482683,-48.805824,0.000000,0.000000,0.000000,0.123530,-0.148177,0.021309
80,0.376608,0.492621,-49.254395,0.000000,0.000000,0.000000,0.117691,-0.124926,0.017859
81,0.381917,0.501095,-49.737469,0.000000,0.000000,0.000000,0.110989,-0.134459,0.019308
82,0.390555,0.506133,-50.251530,0.000000,0.087997,0.193995,0.104825,-0.142699,0.020932
83,0.400554,0.506273,-50.965385,0.228995,0.269996,0.235995,0.100761,-0.198182,0.029046
84,0.408203,0.499831,-51.637543,0.283996,0.132995,0.000000,0.101112,-0.187671,0.026284
85,0.410178,0.490028,-52.045635,0.000000,0.000000,0.000000,0.105516,-0.113613,0.016286
86,0.408099,0.480247,-52.515915,0.000000,0.000000,0.000000,0.111607,-0.130914,0.018780
87,0.401814,0.472469,-53.030239,0.000000,0.000000,0.018999,0.118365,-0.143141,0.020573
88,0.392516,0.468789,-53.561890,0.000000,0.000000,0.000000,0.124156,-0.147914,0.021316
89,0.382636,0.470331,-54.061775,0.000000,0.000000,0.000000,0.127373,-0.139151,0.019967
90,0.374703,0.476420,-54.597198,0.000000,0.000000,0.000000,0.127356,-0.149114,0.021316
91,0.370988,0.485704,-55.137745,0.000000,0.000000,0.000000,0.123885,-0.150402,0.021659
92,0.372580,0.495577,-55.603848,0.000000,0.000000,0.000000,0.117915,-0.129773,0.018592
93,0.378439,0.503681,-56.044044,0.000000,0.000000,0.000000,0.111169,-0.122530,0.017589
94,0.387192,0.508515,-56.553333,0.000000,0.073997,0.173994,0.105024,-0.141447,0.020665
95,0.397192,0.508469,-57.194569,0.209995,0.246996,0.207995,0.100986,-0.178241,0.025871
96,0.405178,0.502449,-57.844593,0.274996,0.140995,0.000000,0.100914,-0.181460,0.025448
97,0.407892,0.492825,-58.301056,0.000000,0.000000,0.000000,0.104882,-0.127128,0.018169
98,0.406086,0.482989,-58.771435,0.000000,0.000000,0.000000,0.110855,-0.130955,0.018771
99,0.400018,0.475040,-59.256119,0.000000,0.000000,0.025999,0.117606,-0.134905,0.019374
100,0.390946,0.470834,-59.727695,0.000000,0.000000,0.000000,0.123620,-0.131280,0.018828
101,0.380953,0.471208,-60.264595,0.000000,0.000000,0.000000,0.127589,-0.149507,0.021393
102,0.372558,0.476641,-60.791485,0.000000,0.000000,0.000000,0.128183,-0.146641,0.021073
103,0.368033,0.485559,-61.338161,0.000000,0.000000,0.000000,0.125298,-0.152185,0.021827
104,0.368803,0.495529,-61.860786,0.000000,0.000000,0.000000,0.119636,-0.145422,0.020935
105,0.374447,0.503784,-62.331020,0.000000,0.000000,0.000000,0.112863,-0.131003,0.018678
106,0.383219,0.508585,-62.812672,0.000000,0.044998,0.147995,0.106658,-0.133905,0.019409
107,0.393217,0.508777,-63.441551,0.175994,0.220995,0.185995,0.102423,-0.174774,0.025405
108,0.401415,0.503051,-64.066315,0.254996,0.130995,0.000000,0.102053,-0.174322,0.024547
109,0.404716,0.493611,-64.485947,0.000000,0.000000,0.000000,0.105667,-0.116878,0.016696
110,0.403883,0.483646,-64.905708,0.000000,0.000000,0.000000,0.111333,-0.116856,0.016758
111,0.399062,0.474885,-65.391899,0.000000,0.000000,0.000000,0.118068,-0.135334,0.019425
112,0.390706,0.469392,-65.863281,0.000000,0.090997,0.000000,0.124546,-0.130577,0.019469
113,0.380767,0.468292,-66.378677,0.000000,0.000000,0.000000,0.129344,-0.143481,0.020575
114,0.371577,0.472235,-66.889679,0.000000,0.000000,0.000000,0.131111,-0.142193,0.020465
115,0.365489,0.480168,-67.382248,0.000000,0.000000,0.000000,0.129416,-0.137097,0.019691
116,0.363876,0.490037,-67.918190,0.000000,0.000000,0.000000,0.124794,-0.149232,0.021363
117,0.367529,0.499346,-68.367981,0.000000,0.000000,0.000000,0.118233,-0.125175,0.017999
118,0.374866,0.506141,-68.858231,0.000000,0.000000,0.026999,0.111491,-0.136529,0.019523
119,0.384538,0.508680,-69.386307,0.007999,0.136995,0.163994,0.106053,-0.146212,0.021880
120,0.394172,0.506001,-70.014252,0.228995,0.200995,0.075997,0.103424,-0.174750,0.025131
121,0.400394,0.498173,-70.580757,0.152995,0.000000,0.000000,0.104951,-0.158397,0.021927
122,0.401443,0.488228,-71.029495,0.000000,0.000000,0.000000,0.109790,-0.125002,0.017836
123,0.398074,0.478812,-71.500229,0.000000,0.000000,0.000000,0.116256,-0.130988,0.018851
124,0.390801,0.471949,-72.019920,0.000000,0.000000,0.000000,0.123043,-0.144656,0.020767
125,0.381079,0.469604,-72.640236,0.082997,0.000000,0.000000,0.128455,-0.173076,0.024378
126,0.371806,0.473347,-73.209694,0.000000,0.000000,0.000000,0.130376,-0.158560,0.022704
127,0.366014,0.481499,-73.737434,0.000000,0.000000,0.000000,0.128440,-0.146991,0.020993
128,0.365116,0.491458,-74.211479,0.000000,0.000000,0.000000,0.123465,-0.131968,0.018926
129,0.368862,0.500730,-74.658791,0.000000,0.000000,0.000000,0.116916,-0.124590,0.017792
130,0.376251,0.507469,-75.150734,0.000000,0.000000,0.039998,0.110217,-0.136981,0.019610
131,0.385946,0.509918,-75.700371,0.024999,0.148995,0.172994,0.104848,-0.152320,0.022636
132,0.395493,0.506943,-76.305862,0.238995,0.202995,0.067997,0.102422,-0.168497,0.024236
133,0.401649,0.499062,-76.856796,0.158994,0.000000,0.000000,0.104004,-0.154277,0.021090
134,0.402769,0.489125,-77.311226,0.000000,0.000000,0.000000,0.108796,-0.126549,0.018101
135,0.399413,0.479705,-77.810005,0.000000,0.000000,0.000000,0.115234,-0.138879,0.019887
136,0.391961,0.473038,-78.300964,0.000000,0.000000,0.000000,0.121951,-0.136657,0.019621
137,0.382244,0.470672,-78.865768,0.072997,0.000000,0.000000,0.127345,-0.157545,0.022237
138,0.372771,0.473874,-79.397530,0.000000,0.000000,0.000000,0.129647,-0.148003,0.021262
139,0.366229,0.481437,-79.883316,0.000000,0.000000,0.000000,0.128375,-0.135184,0.019446
140,0.363976,0.491180,-80.389275,0.000000,0.000000,0.000000,0.124138,-0.140843,0.020209
141,0.366726,0.500794,-80.849655,0.000000,0.000000,0.000000,0.117855,-0.128167,0.018377
142,0.373462,0.508185,-81.326385,0.000000,0.000000,0.000000,0.111090,-0.132815,0.018935
143,0.382839,0.511662,-81.791786,0.000000,0.099996,0.154995,0.105301,-0.129042,0.019100
144,0.392778,0.510560,-82.428246,0.201995,0.213995,0.141995,0.101719,-0.176955,0.025636
145,0.400116,0.503767,-83.047623,0.211995,0.025999,0.000000,0.102195,-0.173367,0.023788
146,0.402148,0.493975,-83.507637,0.000000,0.000000,0.000000,0.106461,-0.128022,0.018406
147,0.399621,0.484300,-83.926155,0.000000,0.000000,0.000000,0.112626,-0.116517,0.016700
148,0.393380,0.476486,-84.388977,0.000000,0.000000,0.000000,0.119429,-0.128818,0.018504
149,0.384308,0.472281,-84.871651,0.000000,0.000000,0.000000,0.125551,-0.134384,0.019255
150,0.374319,0.472767,-85.416336,0.000000,0.000000,0.000000,0.129588,-0.151647,0.021732
151,0.366029,0.478358,-85.936813,0.000000,0.000000,0.000000,0.130173,-0.144852,0.020821
152,0.361616,0.487332,-86.458931,0.000000,0.000000,0.000000,0.127296,-0.145381,0.020813
153,0.362267,0.497311,-86.955215,0.000000,0.000000,0.000000,0.121710,-0.138135,0.019839
154,0.367591,0.505776,-87.472168,0.000000,0.000000,0.000000,0.114933,-0.143973,0.020578
155,0.376403,0.510504,-87.973709,0.000000,0.000000,0.101996,0.108646,-0.139765,0.019880
156,0.386402,0.510413,-88.550095,0.135995,0.174994,0.129995,0.104414,-0.160087,0.023384
157,0.394737,0.504886,-89.137390,0.212995,0.090997,0.000000,0.103757,-0.164039,0.022903
158,0.398612,0.495668,-89.537132,0.000000,0.000000,0.000000,0.106951,-0.111272,0.015971
159,0.398595,0.485668,-89.989227,0.000000,0.000000,0.000000,0.112284,-0.125807,0.018098
160,0.394211,0.476680,-90.487358,0.000000,0.000000,0.000000,0.118985,-0.138631,0.019929
161,0.386065,0.470880,-91.000580,0.000000,0.117996,0.000000,0.125612,-0.141980,0.021385
162,0.376121,0.469825,-91.540764,0.000000,0.000000,0.000000,0.130476,-0.150337,0.021610
163,0.367051,0.474036,-92.113075,0.000000,0.000000,0.000000,0.132133,-0.159296,0.022875
164,0.361706,0.482487,-92.651314,0.000000,0.000000,0.000000,0.129890,-0.149759,0.021567
165,0.361449,0.492484,-93.120911,0.000000,0.000000,0.000000,0.124622,-0.130737,0.018740
166,0.365744,0.501515,-93.638237,0.000000,0.000000,0.000000,0.117936,-0.143957,0.020712
167,0.373943,0.507240,-94.145836,0.000000,0.000000,0.063998,0.111348,-0.141274,0.020300
168,0.383891,0.508257,-94.682930,0.080997,0.154995,0.139995,0.106536,-0.148950,0.022013
169,0.392959,0.504042,-95.274979,0.219995,0.145995,0.000000,0.104900,-0.165038,0.023417
170,0.398131,0.495483,-95.755035,0.055998,0.000000,0.000000,0.107237,-0.134054,0.018753
171,0.398766,0.485504,-96.203125,0.000000,0.000000,0.000000,0.112306,-0.124761,0.017869
172,0.395015,0.476234,-96.715195,0.000000,0.000000,0.000000,0.118913,-0.142544,0.020452
173,0.387203,0.469991,-97.183365,0.000000,0.184995,0.000000,0.125647,-0.129046,0.019977
174,0.377414,0.467946,-97.745651,0.060998,0.000000,0.000000,0.130994,-0.156773,0.022207
175,0.368042,0.471434,-98.302887,0.000000,0.000000,0.000000,0.133161,-0.155076,0.022297
176,0.361932,0.479350,-98.820885,0.000000,0.000000,0.000000,0.131516,-0.144200,0.020683
177,0.360544,0.489253,-99.320984,0.000000,0.000000,0.000000,0.126765,-0.139271,0.019916
178,0.364074,0.498610,-99.803459,0.000000,0.000000,0.000000,0.120198,-0.134309,0.019268
179,0.371543,0.505260,-100.287987,0.000000,0.000000,0.009999,0.113409,-0.134912,0.019319
180,0.381249,0.507666,-100.782722,0.000000,0.116996,0.140995,0.107955,-0.137113,0.020366
181,0.390934,0.505175,-101.394623,0.205995,0.181994,0.061998,0.105152,-0.170203,0.024570
182,0.397430,0.497572,-101.924744,0.146995,0.000000,0.000000,0.106426,-0.148349,0.020393
183,0.399191,0.487729,-102.395958,0.000000,0.000000,0.000000,0.110936,-0.131213,0.018779
184,0.396292,0.478158,-102.919426,0.000000,0.000000,0.000000,0.117327,-0.145825,0.020801
185,0.388996,0.471319,-103.413139,0.000000,0.000000,0.000000,0.124144,-0.137461,0.019692
186,0.379331,0.468754,-104.086494,0.122996,0.000000,0.000000,0.129696,-0.188095,0.026241
187,0.370175,0.472776,-104.578087,0.000000,0.000000,0.000000,0.131431,-0.136839,0.019639
188,0.364003,0.480643,-105.111710,0.000000,0.000000,0.000000,0.129838,-0.148541,0.021317
189,0.362690,0.490557,-105.604385,0.000000,0.000000,0.000000,0.125066,-0.137134,0.019691
190,0.366222,0.499912,-106.085678,0.000000,0.000000,0.000000,0.118538,-0.133977,0.019223
191,0.373684,0.506570,-106.593971,0.000000,0.000000,0.024999,0.111798,-0.141615,0.020180
192,0.383443,0.508754,-107.089737,0.020999,0.136995,0.153995,0.106479,-0.137445,0.020361
193,0.393066,0.506032,-107.712448,0.221995,0.191995,0.064998,0.103854,-0.173220,0.024996
194,0.399295,0.498210,-108.223511,0.144995,0.000000,0.000000,0.105361,-0.142986,0.019691
195,0.400902,0.488340,-108.681755,0.000000,0.000000,0.000000,0.109939,-0.127575,0.018289
196,0.397978,0.478777,-109.117592,0.000000,0.000000,0.000000,0.116314,-0.121374,0.017356
197,0.391289,0.471343,-109.625633,0.000000,0.000000,0.000000,0.123189,-0.141439,0.020276
198,0.381829,0.468102,-110.289314,0.207995,0.000000,0.000000,0.129000,-0.185778,0.025479
199,0.372380,0.471376,-110.847488,0.000000,0.000000,0.000000,0.131241,-0.155392,0.022280
200,0.366100,0.479157,-111.419395,0.000000,0.000000,0.000000,0.129696,-0.159178,0.022867
201,0.365030,0.489100,-111.934494,0.000000,0.000000,0.000000,0.124762,-0.143383,0.020579
202,0.368998,0.498279,-112.401901,0.000000,0.000000,0.000000,0.118117,-0.130107,0.018674
203,0.376676,0.504687,-112.856270,0.000000,0.000000,0.058998,0.111428,-0.126544,0.018085
204,0.386386,0.507074,-113.420883,0.031999,0.152995,0.174994,0.106078,-0.156449,0.023273
205,0.395868,0.503895,-114.105904,0.241995,0.200995,0.056998,0.103806,-0.190681,0.027369
206,0.401198,0.495434,-114.647217,0.095997,0.000000,0.000000,0.106063,-0.151161,0.021144
207,0.401407,0.485436,-115.087280,0.000000,0.000000,0.000000,0.111312,-0.122424,0.017652
208,0.397338,0.476302,-115.612282,0.000000,0.000000,0.000000,0.117950,-0.146202,0.020910
209,0.389238,0.470437,-116.106865,0.000000,0.131995,0.000000,0.124548,-0.136834,0.020596
210,0.379325,0.469121,-116.606491,0.000000,0.000000,0.000000,0.129487,-0.139007,0.020028
211,0.369993,0.472714,-117.113884,0.000000,0.000000,0.000000,0.131549,-0.141245,0.020263
212,0.363582,0.480389,-117.648605,0.000000,0.000000,0.000000,0.130173,-0.148852,0.021355
213,0.361978,0.490260,-118.181465,0.000000,0.000000,0.000000,0.125556,-0.148366,0.021248
214,0.365610,0.499577,-118.684433,0.000000,0.000000,0.000000,0.118992,-0.140073,0.020027
215,0.373284,0.505989,-119.134056,0.000000,0.000000,0.033999,0.112266,-0.125278,0.017842
216,0.382982,0.508429,-119.641296,0.002000,0.127995,0.152995,0.106836,-0.140541,0.020918
217,0.392644,0.505850,-120.265343,0.217995,0.191995,0.069997,0.104116,-0.173687,0.024954
218,0.398978,0.498112,-120.787491,0.148995,0.000000,0.000000,0.105536,-0.146122,0.020082
219,0.400609,0.488246,-121.267166,0.000000,0.000000,0.000000,0.110104,-0.133485,0.019201
220,0.397503,0.478741,-121.740929,0.000000,0.000000,0.000000,0.116522,-0.131857,0.018945
221,0.390402,0.471700,-122.265656,0.000000,0.000000,0.000000,0.123348,-0.146044,0.020981
222,0.380729,0.469163,-122.866135,0.114996,0.000000,0.000000,0.128859,-0.167833,0.023305
223,0.371315,0.472536,-123.425644,0.000000,0.000000,0.000000,0.131056,-0.155769,0.022329
224,0.365127,0.480391,-123.918564,0.000000,0.000000,0.000000,0.129459,-0.137230,0.019670
225,0.363392,0.490239,-124.433868,0.000000,0.000000,0.000000,0.124910,-0.143503,0.020523
226,0.366736,0.499664,-124.944847,0.000000,0.000000,0.000000,0.118431,-0.142269,0.020380
227,0.374261,0.506249,-125.378548,0.000000,0.000000,0.032999,0.111703,-0.120719,0.017332
228,0.383858,0.509062,-125.881371,0.000000,0.125996,0.160994,0.106151,-0.139296,0.020757
229,0.393622,0.506903,-126.513885,0.221995,0.205995,0.100996,0.103193,-0.176008,0.025327
230,0.400220,0.499389,-127.108727,0.174994,0.000000,0.000000,0.104391,-0.166446,0.022899
231,0.401475,0.489468,-127.564987,0.000000,0.000000,0.000000,0.109112,-0.127048,0.018184
232,0.398229,0.480009,-128.036407,0.000000,0.000000,0.000000,0.115531,-0.131276,0.018780
233,0.391043,0.473055,-128.503555,0.000000,0.000000,0.000000,0.122314,-0.130009,0.018688
234,0.381494,0.470084,-129.148239,0.156995,0.000000,0.000000,0.128002,-0.180228,0.024980
235,0.372077,0.473446,-129.643646,0.000000,0.000000,0.000000,0.130199,-0.137902,0.019790
236,0.365390,0.480882,-130.205185,0.000000,0.000000,0.000000,0.129067,-0.156353,0.022388
237,0.363689,0.490736,-130.726349,0.000000,0.000000,0.000000,0.124507,-0.145143,0.020747
238,0.367120,0.500129,-131.235260,0.000000,0.000000,0.000000,0.118017,-0.141679,0.020312
239,0.374693,0.506659,-131.747986,0.000000,0.000000,0.038998,0.111307,-0.142801,0.020406
240,0.384496,0.508635,-132.278015,0.040998,0.146995,0.158994,0.106093,-0.146880,0.021834
241,0.393953,0.505384,-132.932938,0.228995,0.184995,0.035998,0.103822,-0.182376,0.026093
242,0.399473,0.497046,-133.426788,0.095997,0.000000,0.000000,0.105895,-0.138070,0.019127
243,0.400381,0.487087,-133.833908,0.000000,0.000000,0.000000,0.110817,-0.113310,0.016282
244,0.397271,0.477583,-134.349182,0.000000,0.000000,0.000000,0.117259,-0.143506,0.020512
245,0.389881,0.470845,-134.853714,0.000000,0.000000,0.000000,0.124050,-0.140463,0.020132
246,0.380156,0.468519,-135.434021,0.093997,0.000000,0.000000,0.129476,-0.161998,0.022722
247,0.370747,0.471906,-135.943344,0.000000,0.000000,0.000000,0.131670,-0.141777,0.020348
248,0.364184,0.479451,-136.484695,0.000000,0.000000,0.000000,0.130415,-0.150617,0.021698
