# Run 9: x_init=0.127, y_init=0.451, heading_init=2.031, lightX=0.186, lightY=0.694
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight
0,0.122926,0.460337,1.785030,0.000000,0.000000,0.000000,0.058658,-0.068592,0.009750
1,0.120800,0.470108,1.552896,0.000000,0.000000,0.000000,0.054458,-0.064571,0.009320
2,0.120979,0.480107,1.324723,0.000000,0.000000,0.000000,0.050055,-0.063546,0.009084
3,0.123415,0.489805,1.117275,0.000000,0.000000,0.000000,0.045686,-0.057799,0.008234
4,0.127797,0.498795,0.923703,0.000000,0.000000,0.000000,0.041563,-0.054031,0.007584
5,0.133825,0.506773,0.782709,0.000000,0.000000,0.000000,0.037842,-0.039297,0.005583
6,0.140915,0.513825,0.654501,0.000000,0.000000,0.000000,0.034556,-0.035653,0.005157
7,0.148849,0.519913,0.525556,0.000000,0.000000,0.000000,0.031742,-0.035837,0.005207
8,0.157499,0.524930,0.380944,0.000000,0.000000,0.000000,0.029448,-0.040302,0.005729
9,0.166783,0.528648,0.268114,0.000000,0.000000,0.000000,0.027756,-0.031438,0.004477
10,0.176425,0.531297,0.138544,0.000000,0.000000,0.000000,0.026604,-0.036186,0.005058
11,0.186329,0.532678,0.023664,0.000000,0.000000,0.000000,0.026060,-0.032007,0.004561
12,0.196327,0.532914,-0.069403,0.000000,0.000000,0.000000,0.026086,-0.025847,0.003778
13,0.206303,0.532221,-0.185442,0.000000,0.000000,0.000000,0.026611,-0.032300,0.004636
14,0.216131,0.530377,-0.304520,0.000000,0.000000,0.000000,0.027702,-0.033222,0.004682
15,0.225671,0.527379,-0.424668,0.000000,0.000000,0.000000,0.029355,-0.033413,0.004832
16,0.234783,0.523258,-0.545892,0.000000,0.000000,0.000000,0.031547,-0.033800,0.004787
17,0.243329,0.518067,-0.681721,0.000000,0.000000,0.000000,0.034251,-0.037901,0.005335
18,0.251094,0.511765,-0.798599,0.000000,0.000000,0.000000,0.037457,-0.032539,0.004664
19,0.258071,0.504602,-0.987523,0.000000,0.000000,0.000000,0.041074,-0.052627,0.007510
20,0.263579,0.496255,-1.301222,0.000000,0.000000,0.275996,0.045129,-0.087566,0.012287
21,0.266242,0.486616,-1.663711,0.000000,0.333997,0.356997,0.049455,-0.099111,0.016273
22,0.265314,0.476659,-2.379060,0.407998,0.419998,0.370998,0.053539,-0.198731,0.028971
23,0.258084,0.469752,-2.923604,0.418998,0.259996,0.000000,0.055499,-0.152128,0.021205
