# Run 3: x_init=0.692, y_init=0.287, heading_init=1.565, lightX=0.304, lightY=0.865
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight
0,0.692113,0.297286,-0.063549,0.000000,0.000000,0.000000,0.473168,-0.449609,0.068895
1,0.702093,0.296651,-1.724838,0.000000,0.000000,0.000000,0.481734,-0.458321,0.070484
2,0.700559,0.286769,-3.370170,0.000000,0.000000,0.000000,0.491851,-0.454088,0.069637
3,0.690819,0.289035,-5.000026,0.000000,0.000000,0.000000,0.481606,-0.449851,0.068949
4,0.693656,0.298624,-6.624477,0.000000,0.000000,0.000000,0.472849,-0.448443,0.068636
5,0.703079,0.295277,-8.252934,0.000000,0.000000,0.000000,0.484084,-0.449437,0.068917
6,0.699194,0.286063,-9.939089,0.000000,0.000000,0.000000,0.491589,-0.465103,0.071617
7,0.690488,0.290982,-11.602294,0.000000,0.000000,0.000000,0.479111,-0.458931,0.070483
8,0.696190,0.299197,-13.227925,0.000000,0.000000,0.000000,0.474181,-0.448726,0.068729
9,0.704080,0.293054,-14.870022,0.000000,0.000000,0.000000,0.487424,-0.453266,0.069430
10,0.697390,0.285621,-16.517120,0.000000,0.000000,0.000000,0.490678,-0.454572,0.069716
11,0.690489,0.292858,-18.130161,0.000000,0.000000,0.000000,0.476960,-0.445377,0.068070
12,0.698011,0.299447,-19.735916,0.000000,0.000000,0.000000,0.475329,-0.443398,0.067730
13,0.704334,0.291700,-21.408930,0.000000,0.000000,0.000000,0.489178,-0.461468,0.071069
14,0.695981,0.286201,-23.039852,0.000000,0.000000,0.000000,0.488900,-0.450169,0.068970
15,0.690994,0.294869,-24.679239,0.000000,0.000000,0.000000,0.475053,-0.452347,0.069486
16,0.699983,0.299250,-26.300858,0.000000,0.000000,0.000000,0.477110,-0.447614,0.068564
17,0.703902,0.290050,-27.968647,0.000000,0.000000,0.000000,0.490728,-0.460141,0.070733
18,0.694366,0.287040,-29.629696,0.000000,0.000000,0.000000,0.486665,-0.458381,0.070347
19,0.692228,0.296809,-31.245050,0.000000,0.000000,0.000000,0.473799,-0.445981,0.068203
20,0.702083,0.298509,-32.881618,0.000000,0.000000,0.000000,0.479615,-0.451693,0.069243
21,0.703132,0.288565,-34.555099,0.000000,0.000000,0.000000,0.491823,-0.461704,0.070982
22,0.693132,0.288540,-36.197121,0.000000,0.000000,0.000000,0.483971,-0.453231,0.069440
23,0.693819,0.298517,-37.843708,0.000000,0.000000,0.000000,0.473098,-0.454507,0.069618
24,0.703715,0.297076,-39.492748,0.000000,0.000000,0.000000,0.482544,-0.455097,0.069809
25,0.701505,0.287323,-41.169781,0.000000,0.000000,0.000000,0.491961,-0.462539,0.071277
26,0.692041,0.290555,-42.818703,0.000000,0.000000,0.000000,0.480804,-0.455038,0.069830
27,0.696002,0.299737,-44.461105,0.000000,0.000000,0.000000,0.473422,-0.453301,0.069492
28,0.704877,0.295130,-46.130283,0.000000,0.000000,0.000000,0.485690,-0.460568,0.070748
29,0.699421,0.286750,-47.815308,0.000000,0.000000,0.000000,0.490972,-0.464814,0.071547
30,0.691717,0.293126,-49.466919,0.000000,0.000000,0.000000,0.477604,-0.455816,0.069908
