# Run 7: x_init=0.103, y_init=0.535, heading_init=0.128, lightX=0.769, lightY=0.539
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight
0,0.112921,0.536204,-1.395994,0.000000,0.000000,0.000000,0.429924,-0.421169,0.063993
1,0.114660,0.526356,-2.931317,0.000000,0.076997,0.082997,0.427805,-0.423900,0.064808
2,0.104880,0.524269,-4.616940,0.139995,0.237995,0.250996,0.440750,-0.464402,0.072148
3,0.103927,0.534223,-6.176291,0.000000,0.000000,0.000000,0.441815,-0.430741,0.065616
4,0.113870,0.535290,-7.698520,0.000000,0.000000,0.000000,0.428687,-0.420820,0.063720
5,0.115419,0.525411,-9.203311,0.000000,0.085997,0.085997,0.426839,-0.415427,0.063563
6,0.105663,0.523214,-10.864211,0.127995,0.230995,0.246996,0.439744,-0.457725,0.070956
7,0.104353,0.533128,-12.391316,0.000000,0.000000,0.000000,0.441262,-0.422092,0.064000
8,0.114200,0.534870,-13.909517,0.000000,0.000000,0.000000,0.428258,-0.419639,0.063620
9,0.116457,0.525128,-15.440646,0.000000,0.076997,0.096996,0.425491,-0.422672,0.064701
10,0.106812,0.522486,-17.099043,0.093997,0.214995,0.241995,0.438246,-0.456846,0.071038
11,0.105025,0.532325,-18.648645,0.000000,0.000000,0.000000,0.440380,-0.428135,0.065119
12,0.114824,0.534321,-20.150808,0.000000,0.000000,0.000000,0.427448,-0.415370,0.062784
13,0.117486,0.524682,-21.668676,0.000000,0.069997,0.102996,0.424162,-0.419164,0.063988
14,0.108002,0.521513,-23.282974,0.049998,0.194995,0.235995,0.436706,-0.444952,0.068895
15,0.105248,0.531126,-24.825146,0.000000,0.000000,0.000000,0.440102,-0.426140,0.064748
16,0.114779,0.534154,-26.352262,0.000000,0.000000,0.000000,0.427508,-0.422006,0.064091
17,0.118220,0.524764,-27.866966,0.000000,0.046998,0.104996,0.423206,-0.418478,0.063667
18,0.109038,0.520803,-29.466160,0.000000,0.162994,0.227995,0.435364,-0.440743,0.068296
19,0.105339,0.530093,-31.021540,0.000000,0.000000,0.000000,0.440000,-0.429813,0.065279
20,0.114571,0.533935,-32.525944,0.000000,0.000000,0.000000,0.427782,-0.415940,0.062928
21,0.119017,0.524978,-34.053192,0.000000,0.003000,0.096996,0.422163,-0.422158,0.063981
22,0.110262,0.520146,-35.637447,0.000000,0.115996,0.211995,0.433775,-0.436969,0.067315
23,0.105548,0.528965,-37.185562,0.007999,0.000000,0.000000,0.439744,-0.427839,0.064942
24,0.114258,0.533878,-38.697933,0.000000,0.000000,0.000000,0.428192,-0.418026,0.063377
25,0.119671,0.525470,-40.199089,0.000000,0.000000,0.075997,0.421299,-0.415051,0.062782
26,0.111660,0.519485,-41.773777,0.000000,0.028999,0.177994,0.431963,-0.434950,0.066289
27,0.105706,0.527519,-43.371525,0.109996,0.000000,0.000000,0.439566,-0.441747,0.066833
28,0.113899,0.533254,-44.882408,0.000000,0.000000,0.000000,0.428670,-0.417652,0.063277
29,0.120114,0.525420,-46.394077,0.000000,0.000000,0.051998,0.420727,-0.417900,0.063278
30,0.112661,0.518753,-47.968899,0.031999,0.000000,0.145995,0.430679,-0.435322,0.065960
31,0.106023,0.526233,-49.642471,0.151995,0.000000,0.000000,0.439178,-0.462518,0.070196
32,0.114145,0.532068,-51.142586,0.000000,0.000000,0.000000,0.428364,-0.414762,0.062739
33,0.120539,0.524379,-52.667843,0.000000,0.000000,0.051998,0.420206,-0.421555,0.063949
34,0.113149,0.517642,-54.272671,0.044998,0.000000,0.138995,0.430086,-0.443510,0.067322
35,0.106667,0.525256,-55.921463,0.136995,0.000000,0.000000,0.438353,-0.455720,0.069107
36,0.114764,0.531125,-57.455517,0.000000,0.000000,0.000000,0.427569,-0.424002,0.064302
37,0.120926,0.523250,-58.963421,0.000000,0.000000,0.068997,0.419739,-0.416851,0.063130
38,0.113453,0.516604,-60.552635,0.046998,0.000000,0.140995,0.429733,-0.439305,0.066558
39,0.106947,0.524198,-62.170185,0.136995,0.000000,0.000000,0.438013,-0.447322,0.067560
40,0.114836,0.530343,-63.700233,0.000000,0.000000,0.000000,0.427487,-0.422864,0.064165
41,0.121297,0.522710,-65.202995,0.000000,0.000000,0.060998,0.419276,-0.415425,0.062918
