# Run 10: x_init=0.892, y_init=0.105, heading_init=-3.065, lightX=0.743, lightY=0.557
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight
0,0.881606,0.104340,-3.963031,0.000000,0.000000,0.000000,0.224131,-0.249487,0.036277
1,0.874794,0.111662,-4.826211,0.000000,0.000000,0.000000,0.215710,-0.239924,0.034835
2,0.875930,0.121597,-5.677723,0.000000,0.000000,0.000000,0.207263,-0.236700,0.034345
3,0.884152,0.127288,-6.583867,0.000000,0.017999,0.156995,0.204603,-0.251866,0.036569
4,0.893704,0.124327,-7.605704,0.246996,0.211995,0.078997,0.209953,-0.283733,0.041528
5,0.896161,0.114633,-8.541399,0.042998,0.164994,0.188995,0.219181,-0.259342,0.038499
6,0.889816,0.106904,-9.599967,0.199995,0.036998,0.000000,0.224168,-0.294709,0.042244
7,0.879969,0.108647,-10.443888,0.000000,0.000000,0.000000,0.219798,-0.234480,0.034149
8,0.874728,0.117164,-11.298703,0.000000,0.000000,0.000000,0.210823,-0.237612,0.034484
9,0.877713,0.126708,-12.103019,0.000000,0.000000,0.000000,0.203319,-0.223573,0.032449
10,0.886658,0.131177,-12.987263,0.000000,0.109996,0.194995,0.201993,-0.245224,0.036239
11,0.895785,0.127091,-14.020121,0.259996,0.193995,0.007999,0.208202,-0.286931,0.041838
12,0.896953,0.117160,-14.973289,0.088997,0.166994,0.155995,0.217197,-0.264345,0.039058
13,0.889533,0.110456,-15.941159,0.121996,0.000000,0.000000,0.220900,-0.269486,0.038596
14,0.879803,0.112767,-16.794426,0.000000,0.000000,0.000000,0.216077,-0.237128,0.034475
15,0.875147,0.121617,-17.637505,0.000000,0.000000,0.000000,0.207038,-0.234278,0.034082
16,0.878658,0.130980,-18.420918,0.000000,0.000000,0.000000,0.199918,-0.217793,0.031575
17,0.887754,0.135137,-19.256546,0.000000,0.131995,0.204995,0.198954,-0.231528,0.034461
18,0.896937,0.131178,-20.315422,0.267996,0.205995,0.029999,0.205060,-0.294104,0.042946
19,0.897984,0.121233,-21.287695,0.063998,0.139995,0.125996,0.213951,-0.269624,0.039860
20,0.890358,0.114765,-22.171049,0.072997,0.000000,0.000000,0.217316,-0.245833,0.035347
21,0.880519,0.116554,-22.976856,0.000000,0.000000,0.000000,0.212924,-0.223983,0.032514
22,0.874997,0.124891,-23.825945,0.000000,0.000000,0.000000,0.204159,-0.236113,0.034161
23,0.877606,0.134544,-24.624077,0.000000,0.000000,0.000000,0.196610,-0.221858,0.032195
24,0.886340,0.139414,-25.469465,0.000000,0.087997,0.187995,0.194956,-0.234530,0.034565
25,0.895778,0.136110,-26.518696,0.261996,0.217995,0.071997,0.200529,-0.291300,0.042681
26,0.897616,0.126281,-27.358936,0.000000,0.096996,0.104996,0.209464,-0.233091,0.034366
27,0.891522,0.118353,-28.316761,0.126996,0.000000,0.000000,0.214501,-0.266794,0.038091
28,0.881531,0.118777,-29.173374,0.000000,0.000000,0.000000,0.211252,-0.238085,0.034584
29,0.875307,0.126604,-29.989368,0.000000,0.000000,0.000000,0.202764,-0.226855,0.032885
30,0.876744,0.136500,-30.768242,0.000000,0.000000,0.000000,0.194729,-0.216517,0.031406
31,0.884719,0.142534,-31.568766,0.000000,0.000000,0.150995,0.191897,-0.222659,0.032156
32,0.894602,0.141011,-32.620693,0.240995,0.241995,0.160994,0.196070,-0.291970,0.042869
33,0.898182,0.131674,-33.484863,0.000000,0.013999,0.077997,0.205025,-0.240180,0.034894
34,0.893404,0.122889,-34.458763,0.126996,0.022999,0.000000,0.211108,-0.271015,0.038987
35,0.883452,0.121903,-35.260979,0.000000,0.000000,0.000000,0.209061,-0.223118,0.032234
36,0.875826,0.128372,-36.064678,0.000000,0.000000,0.000000,0.201384,-0.223439,0.032386
37,0.875190,0.138351,-36.847469,0.000000,0.000000,0.000000,0.192762,-0.217627,0.031542
38,0.881778,0.145875,-37.622890,0.000000,0.000000,0.053998,0.188312,-0.215679,0.031145
39,0.891749,0.146637,-38.566628,0.168994,0.228995,0.208995,0.190563,-0.261721,0.038680
40,0.898216,0.139009,-39.480381,0.174994,0.000000,0.000000,0.198851,-0.254957,0.035900
41,0.896127,0.129230,-40.366875,0.087997,0.071997,0.000000,0.206473,-0.246351,0.035830
42,0.887229,0.124667,-41.177044,0.000000,0.000000,0.000000,0.207742,-0.225316,0.032569
43,0.877789,0.127967,-41.948879,0.000000,0.000000,0.000000,0.202258,-0.214673,0.031010
44,0.873326,0.136916,-42.748932,0.000000,0.000000,0.000000,0.193474,-0.222346,0.032318
45,0.876637,0.146352,-43.502918,0.000000,0.000000,0.000000,0.186514,-0.209662,0.030339
46,0.885509,0.150965,-44.286129,0.000000,0.094997,0.185995,0.185207,-0.217330,0.031973
47,0.895051,0.147973,-45.267414,0.255996,0.219995,0.087997,0.190465,-0.272564,0.039788
48,0.897869,0.138378,-46.084698,0.000000,0.000000,0.032999,0.199271,-0.227248,0.032902
49,0.892800,0.129758,-46.973274,0.074997,0.000000,0.000000,0.205011,-0.247391,0.035452
50,0.882913,0.128258,-47.755020,0.000000,0.000000,0.000000,0.203421,-0.217372,0.031465
51,0.874840,0.134158,-48.531300,0.000000,0.000000,0.000000,0.196196,-0.215779,0.031318
52,0.873213,0.144025,-49.258213,0.000000,0.000000,0.000000,0.187524,-0.202165,0.029219
53,0.878555,0.152479,-50.006168,0.000000,0.000000,0.000000,0.182040,-0.208005,0.030077
54,0.888221,0.155043,-50.890724,0.058998,0.181994,0.208995,0.182696,-0.245204,0.036358
55,0.896329,0.149190,-51.847595,0.237995,0.104996,0.000000,0.189862,-0.266434,0.038147
56,0.896216,0.139191,-52.644634,0.000000,0.024999,0.000000,0.198081,-0.221350,0.032356
57,0.888984,0.132284,-53.439682,0.000000,0.000000,0.000000,0.201727,-0.221089,0.031982
58,0.878989,0.132610,-54.215336,0.000000,0.000000,0.000000,0.198623,-0.215618,0.031280
59,0.872082,0.139841,-54.984280,0.000000,0.000000,0.000000,0.190702,-0.213817,0.030946
60,0.872146,0.149840,-55.712761,0.000000,0.000000,0.000000,0.182478,-0.202639,0.029243
61,0.878851,0.157260,-56.481464,0.000000,0.000000,0.039998,0.178277,-0.213837,0.030848
62,0.888828,0.157931,-57.421864,0.150995,0.209995,0.186995,0.180560,-0.260880,0.038458
63,0.895252,0.150267,-58.327820,0.148995,0.000000,0.000000,0.188655,-0.252470,0.035905
64,0.893184,0.140483,-59.098576,0.011999,0.000000,0.000000,0.196079,-0.214470,0.030869
65,0.884884,0.134906,-59.907822,0.000000,0.000000,0.000000,0.198323,-0.225001,0.032590
66,0.875119,0.137064,-60.687805,0.000000,0.000000,0.000000,0.193822,-0.216967,0.031310
67,0.869696,0.145466,-61.405014,0.000000,0.000000,0.000000,0.185429,-0.199442,0.028852
68,0.871130,0.155362,-62.109570,0.000000,0.000000,0.000000,0.177751,-0.195984,0.028283
69,0.878633,0.161973,-62.858471,0.000000,0.000000,0.084997,0.174472,-0.208299,0.030084
70,0.888630,0.161707,-63.797882,0.176994,0.209995,0.161994,0.177504,-0.260718,0.038306
71,0.894315,0.153481,-64.599129,0.090997,0.000000,0.000000,0.185767,-0.223185,0.031861
72,0.892363,0.143673,-65.398560,0.000000,0.000000,0.000000,0.193187,-0.222282,0.032185
73,0.883971,0.138236,-66.200699,0.000000,0.000000,0.000000,0.195265,-0.223055,0.032274
74,0.874228,0.140489,-66.974518,0.000000,0.000000,0.000000,0.190723,-0.215189,0.031126
75,0.868834,0.148909,-67.721680,0.000000,0.000000,0.000000,0.182389,-0.207730,0.030098
76,0.870599,0.158752,-68.469704,0.000000,0.000000,0.000000,0.174904,-0.208095,0.030008
77,0.878588,0.164767,-69.227547,0.000000,0.000000,0.107996,0.172261,-0.210737,0.030493
78,0.888525,0.163644,-70.158310,0.193995,0.204995,0.131995,0.175946,-0.258424,0.037846
79,0.893559,0.155004,-70.939003,0.029999,0.000000,0.000000,0.184311,-0.217191,0.031312
80,0.891054,0.145322,-71.669815,0.000000,0.000000,0.000000,0.191436,-0.203205,0.029418
81,0.882727,0.139785,-72.469337,0.000000,0.000000,0.000000,0.193620,-0.222266,0.032230
82,0.872952,0.141896,-73.205215,0.000000,0.000000,0.000000,0.189218,-0.204700,0.029537
83,0.867124,0.150022,-73.919937,0.000000,0.000000,0.000000,0.181054,-0.198807,0.028696
84,0.868048,0.159980,-74.593353,0.000000,0.000000,0.000000,0.173281,-0.187386,0.026970
85,0.874980,0.167187,-75.277466,0.000000,0.000000,0.024999,0.169401,-0.190316,0.027444
86,0.884907,0.168392,-76.068840,0.101996,0.179994,0.170994,0.171191,-0.219560,0.032341
87,0.892741,0.162177,-76.935692,0.201995,0.045998,0.000000,0.178351,-0.241753,0.034174
88,0.893074,0.152182,-77.662071,0.000000,0.000000,0.000000,0.186441,-0.201990,0.029223
89,0.886686,0.144489,-78.452751,0.000000,0.000000,0.000000,0.190844,-0.219821,0.031860
90,0.876723,0.143620,-79.214409,0.000000,0.000000,0.000000,0.188789,-0.211804,0.030640
91,0.868914,0.149866,-79.941986,0.000000,0.000000,0.000000,0.181630,-0.202283,0.029312
92,0.867235,0.159724,-80.644112,0.000000,0.000000,0.000000,0.173281,-0.195337,0.028157
93,0.872321,0.168334,-81.318047,0.000000,0.000000,0.000000,0.167811,-0.187475,0.027045
94,0.881668,0.171888,-82.073303,0.000000,0.109996,0.166994,0.167575,-0.209381,0.031025
95,0.890910,0.168069,-82.925514,0.227995,0.167994,0.000000,0.173188,-0.237042,0.034225
96,0.894119,0.158598,-83.651443,0.000000,0.000000,0.000000,0.181605,-0.201912,0.029158
97,0.890232,0.149384,-84.406891,0.000000,0.000000,0.000000,0.187865,-0.210139,0.030327
98,0.881085,0.145342,-85.190697,0.000000,0.000000,0.000000,0.188558,-0.217899,0.031595
99,0.871754,0.148937,-85.946243,0.000000,0.000000,0.000000,0.183113,-0.210105,0.030392
100,0.867426,0.157952,-86.655167,0.000000,0.000000,0.000000,0.174739,-0.197139,0.028518
101,0.870010,0.167612,-87.294044,0.000000,0.000000,0.000000,0.167777,-0.177758,0.025605
102,0.877845,0.173827,-87.970360,0.000000,0.000000,0.095997,0.165037,-0.188228,0.027050
103,0.887845,0.173769,-88.863953,0.165994,0.204995,0.162994,0.167888,-0.247950,0.036490
104,0.894066,0.165940,-89.668983,0.126996,0.000000,0.000000,0.175795,-0.224445,0.031803
105,0.892734,0.156029,-90.366371,0.000000,0.000000,0.000000,0.183240,-0.193931,0.028054
106,0.885348,0.149287,-91.080833,0.000000,0.000000,0.000000,0.186526,-0.198730,0.028690
107,0.875351,0.149034,-91.791801,0.000000,0.000000,0.000000,0.183977,-0.197765,0.028544
108,0.867611,0.155365,-92.520020,0.000000,0.000000,0.000000,0.176856,-0.202548,0.029252
109,0.866048,0.165242,-93.220459,0.000000,0.000000,0.000000,0.168634,-0.194845,0.028112
110,0.871219,0.173801,-93.896164,0.000000,0.000000,0.000000,0.163307,-0.187950,0.027133
111,0.880607,0.177246,-94.585930,0.000000,0.105996,0.159994,0.163185,-0.191263,0.028297
112,0.890041,0.173928,-95.415199,0.222995,0.176994,0.022999,0.168409,-0.230576,0.033389
113,0.893966,0.164731,-96.093102,0.000000,0.000000,0.000000,0.176711,-0.188649,0.027133
114,0.891255,0.155105,-96.855019,0.000000,0.000000,0.000000,0.183539,-0.211882,0.030645
115,0.882649,0.150012,-97.631912,0.000000,0.000000,0.000000,0.185171,-0.216047,0.031247
116,0.872942,0.152414,-98.386719,0.000000,0.000000,0.000000,0.180597,-0.209874,0.030389
117,0.867516,0.160814,-99.087952,0.000000,0.000000,0.000000,0.172486,-0.195060,0.028148
118,0.868791,0.170733,-99.769760,0.000000,0.000000,0.000000,0.165048,-0.189738,0.027288
119,0.876031,0.177631,-100.410431,0.000000,0.000000,0.051998,0.161650,-0.178216,0.025717
120,0.885958,0.178833,-101.226349,0.110996,0.186995,0.177994,0.163488,-0.226307,0.033408
121,0.893636,0.172426,-102.059227,0.201995,0.034999,0.000000,0.170635,-0.232430,0.032684
122,0.894061,0.162435,-102.799774,0.000000,0.000000,0.000000,0.178545,-0.205858,0.029865
123,0.887634,0.154774,-103.515800,0.000000,0.000000,0.000000,0.182741,-0.199149,0.028768
124,0.877757,0.153213,-104.263275,0.000000,0.000000,0.000000,0.181230,-0.207836,0.030093
125,0.869452,0.158783,-104.964966,0.000000,0.000000,0.000000,0.174587,-0.195174,0.028181
126,0.866704,0.168398,-105.645699,0.000000,0.000000,0.000000,0.166335,-0.189359,0.027324
