# Run 6: x_init=0.220, y_init=0.264, heading_init=-1.035, lightX=0.258, lightY=0.845
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight
0,0.224860,0.255664,-2.293609,0.000000,0.000000,0.000000,0.347951,-0.348741,0.051890
1,0.218245,0.248165,-3.591255,0.000000,0.000000,0.000000,0.357318,-0.359463,0.053590
2,0.209239,0.252511,-4.895946,0.000000,0.000000,0.000000,0.352942,-0.361417,0.053879
3,0.211064,0.262343,-6.207252,0.027999,0.019999,0.000000,0.341222,-0.363281,0.054121
4,0.221036,0.263102,-7.461401,0.000000,0.000000,0.000000,0.339510,-0.347558,0.051650
5,0.224861,0.253863,-8.735170,0.000000,0.000000,0.000000,0.350076,-0.352955,0.052499
6,0.217146,0.247500,-10.074794,0.000000,0.000000,0.000000,0.358199,-0.370997,0.055418
7,0.209186,0.253552,-11.360878,0.000000,0.000000,0.000000,0.351716,-0.356336,0.053038
8,0.212758,0.262893,-12.650883,0.041998,0.000000,0.000000,0.340428,-0.357540,0.053081
9,0.222722,0.262048,-13.943086,0.000000,0.000000,0.000000,0.340616,-0.358069,0.053252
10,0.224651,0.252236,-15.258924,0.000000,0.000000,0.000000,0.352014,-0.364519,0.054325
11,0.215642,0.247895,-16.563442,0.000000,0.000000,0.000000,0.357852,-0.361293,0.053948
12,0.209084,0.255444,-17.847727,0.000000,0.000000,0.000000,0.349493,-0.355819,0.052981
13,0.214471,0.263869,-19.111485,0.023999,0.000000,0.000000,0.339143,-0.350419,0.051848
14,0.224130,0.261279,-20.400541,0.000000,0.000000,0.000000,0.341417,-0.357226,0.053093
15,0.224328,0.251281,-21.706831,0.000000,0.000000,0.000000,0.353168,-0.361802,0.054003
16,0.214730,0.248476,-22.999018,0.000000,0.000000,0.000000,0.357236,-0.357886,0.053430
17,0.209393,0.256933,-24.309120,0.000000,0.000000,0.000000,0.347710,-0.362940,0.054079
18,0.216189,0.264269,-25.562441,0.000000,0.000000,0.000000,0.338532,-0.347364,0.051580
19,0.225280,0.260103,-26.829090,0.000000,0.000000,0.000000,0.342714,-0.350960,0.052227
20,0.224027,0.250182,-28.143009,0.000000,0.000000,0.000000,0.354494,-0.363852,0.054381
21,0.214114,0.248872,-29.468168,0.000000,0.000000,0.000000,0.356817,-0.367034,0.054777
22,0.210433,0.258170,-30.786972,0.000000,0.000000,0.009999,0.346159,-0.365329,0.054460
23,0.218519,0.264053,-32.061420,0.000000,0.000000,0.000000,0.338595,-0.353120,0.052550
24,0.226507,0.258037,-33.364899,0.000000,0.000000,0.000000,0.345056,-0.361055,0.053855
25,0.222815,0.248744,-34.674088,0.000000,0.000000,0.000000,0.356288,-0.362577,0.054151
26,0.212883,0.249907,-35.991421,0.000000,0.000000,0.000000,0.355694,-0.364876,0.054445
27,0.211518,0.259813,-37.304966,0.000000,0.009999,0.003000,0.344133,-0.363842,0.054273
28,0.220751,0.263654,-38.546127,0.000000,0.000000,0.000000,0.338890,-0.343951,0.051123
29,0.227373,0.256161,-39.827438,0.000000,0.000000,0.000000,0.347208,-0.355062,0.052792
30,0.222083,0.247675,-41.140316,0.000000,0.000000,0.000000,0.357615,-0.363707,0.054195
31,0.212528,0.250626,-42.475033,0.000000,0.000000,0.000000,0.354870,-0.369605,0.055249
32,0.213163,0.260606,-43.724812,0.000000,0.021999,0.000000,0.343057,-0.346297,0.051520
33,0.222833,0.263153,-44.966637,0.000000,0.000000,0.000000,0.339323,-0.344205,0.051080
34,0.228367,0.254824,-46.235279,0.000000,0.000000,0.000000,0.348724,-0.351490,0.052332
35,0.222063,0.247062,-47.568806,0.000000,0.000000,0.000000,0.358349,-0.369270,0.055204
36,0.213036,0.251366,-48.886795,0.000000,0.000000,0.000000,0.353947,-0.365028,0.054501
37,0.214945,0.261182,-50.188828,0.020999,0.009999,0.000000,0.342230,-0.360712,0.053737
38,0.224916,0.261947,-51.453365,0.000000,0.000000,0.000000,0.340586,-0.350490,0.052025
39,0.228652,0.252672,-52.778629,0.000000,0.000000,0.000000,0.351251,-0.367042,0.054802
40,0.220563,0.246793,-54.120899,0.000000,0.000000,0.000000,0.358779,-0.371585,0.055672
41,0.213004,0.253340,-55.408463,0.000000,0.000000,0.000000,0.351611,-0.356729,0.053115
42,0.217178,0.262427,-56.674961,0.034999,0.000000,0.000000,0.340593,-0.351153,0.051987
43,0.227099,0.261168,-57.919250,0.000000,0.000000,0.000000,0.341357,-0.344866,0.051203
44,0.229087,0.251367,-59.212765,0.000000,0.000000,0.000000,0.352771,-0.358458,0.053280
45,0.220206,0.246772,-60.514805,0.000000,0.000000,0.000000,0.358831,-0.360696,0.053756
46,0.213417,0.254114,-61.812283,0.000000,0.000000,0.000000,0.350660,-0.359455,0.053545
47,0.218654,0.262633,-63.060600,0.018999,0.000000,0.000000,0.340236,-0.346017,0.051335
48,0.228394,0.260366,-64.343102,0.000000,0.000000,0.000000,0.342216,-0.355298,0.052935
49,0.228989,0.250383,-65.654472,0.000000,0.000000,0.000000,0.353946,-0.363206,0.054216
50,0.219493,0.247247,-66.979744,0.000000,0.000000,0.000000,0.358317,-0.367007,0.054839
51,0.214143,0.255696,-68.249947,0.000000,0.000000,0.000000,0.348731,-0.351912,0.052406
52,0.220629,0.263307,-69.505943,0.000000,0.000000,0.000000,0.339301,-0.348174,0.051622
53,0.229875,0.259497,-70.790497,0.000000,0.000000,0.000000,0.343147,-0.355925,0.052960
54,0.228830,0.249552,-72.126274,0.000000,0.000000,0.000000,0.354944,-0.369934,0.055257
55,0.218915,0.248252,-73.438850,0.000000,0.000000,0.000000,0.357162,-0.363597,0.054209
56,0.215126,0.257506,-74.687126,0.000000,0.000000,0.004999,0.346517,-0.345889,0.051449
57,0.222703,0.264033,-75.955330,0.000000,0.000000,0.000000,0.338309,-0.351476,0.052206
58,0.231191,0.258746,-77.235214,0.000000,0.000000,0.000000,0.343956,-0.354601,0.052800
59,0.228560,0.249098,-78.576538,0.000000,0.000000,0.000000,0.355500,-0.371506,0.055450
60,0.218567,0.249465,-79.895432,0.000000,0.000000,0.000000,0.355743,-0.365264,0.054553
61,0.216431,0.259235,-81.183907,0.000000,0.000000,0.010999,0.344381,-0.356879,0.053256
62,0.225219,0.264007,-82.441971,0.000000,0.000000,0.000000,0.338170,-0.348644,0.051811
63,0.232464,0.257114,-83.729080,0.000000,0.000000,0.000000,0.345805,-0.356581,0.053118
64,0.227874,0.248229,-85.058754,0.000000,0.000000,0.000000,0.356576,-0.368283,0.054964
65,0.218150,0.250565,-86.367737,0.000000,0.000000,0.000000,0.354468,-0.362605,0.054057
66,0.217890,0.260562,-87.617538,0.000000,0.022999,0.000000,0.342711,-0.346264,0.051560
67,0.227293,0.263963,-88.854225,0.000000,0.000000,0.000000,0.338091,-0.342693,0.050956
68,0.233590,0.256195,-90.134239,0.000000,0.000000,0.000000,0.346831,-0.354715,0.052726
69,0.227954,0.247935,-91.424973,0.000000,0.000000,0.000000,0.356922,-0.357492,0.053361
70,0.218457,0.251069,-92.750702,0.000000,0.000000,0.000000,0.353845,-0.367250,0.054742
71,0.219194,0.261042,-94.016487,0.000000,0.023999,0.000000,0.342049,-0.350582,0.052331
72,0.228928,0.263334,-95.303123,0.000000,0.000000,0.000000,0.338725,-0.356548,0.053002
73,0.233857,0.254633,-96.570198,0.000000,0.000000,0.000000,0.348658,-0.351171,0.052153
74,0.227029,0.247328,-97.913864,0.000000,0.000000,0.000000,0.357703,-0.372108,0.055595
75,0.218373,0.252335,-99.231483,0.000000,0.000000,0.000000,0.352350,-0.365044,0.054368
76,0.221053,0.261969,-100.534126,0.033999,0.000000,0.000000,0.340827,-0.361067,0.053577
77,0.231053,0.261938,-101.787903,0.000000,0.000000,0.000000,0.340233,-0.347464,0.051626
78,0.234140,0.252426,-103.078094,0.000000,0.000000,0.000000,0.351253,-0.357403,0.053278
79,0.225856,0.246826,-104.402901,0.000000,0.000000,0.000000,0.358376,-0.366914,0.054784
80,0.218406,0.253497,-105.723015,0.000000,0.000000,0.000000,0.350973,-0.365606,0.054600
81,0.223021,0.262368,-106.985268,0.028999,0.000000,0.000000,0.340223,-0.349883,0.051906
82,0.232875,0.260666,-108.272133,0.000000,0.000000,0.000000,0.341624,-0.356447,0.053175
83,0.234001,0.250729,-109.565407,0.000000,0.000000,0.000000,0.353273,-0.358373,0.053288
84,0.224753,0.246924,-110.903969,0.000000,0.000000,0.000000,0.358329,-0.370624,0.055453
85,0.218922,0.255048,-112.176743,0.000000,0.000000,0.000000,0.349101,-0.352616,0.052521
86,0.224975,0.263008,-113.451981,0.000000,0.000000,0.000000,0.339347,-0.353451,0.052471
87,0.234353,0.259535,-114.742256,0.000000,0.000000,0.000000,0.342874,-0.357486,0.053220
88,0.233612,0.249563,-116.062065,0.000000,0.000000,0.000000,0.354679,-0.365501,0.054607
89,0.223768,0.247803,-117.372421,0.000000,0.000000,0.000000,0.357345,-0.362922,0.054178
90,0.219533,0.256862,-118.640434,0.000000,0.000000,0.000000,0.346919,-0.351378,0.052244
91,0.226917,0.263606,-119.881622,0.000000,0.000000,0.000000,0.338529,-0.344035,0.051048
92,0.235688,0.258802,-121.132896,0.000000,0.000000,0.000000,0.343673,-0.346672,0.051622
93,0.233882,0.248966,-122.476105,0.000000,0.000000,0.000000,0.355376,-0.372021,0.055536
94,0.223893,0.248506,-123.783844,0.000000,0.000000,0.000000,0.356498,-0.362218,0.054047
95,0.220851,0.258032,-125.055885,0.000000,0.000000,0.009999,0.345446,-0.352463,0.052440
96,0.229060,0.263743,-126.294029,0.000000,0.000000,0.000000,0.338242,-0.343170,0.050944
97,0.237138,0.257849,-127.602730,0.000000,0.000000,0.000000,0.344728,-0.362523,0.054049
98,0.233539,0.248519,-128.902283,0.000000,0.000000,0.000000,0.355925,-0.360028,0.053632
99,0.223586,0.249488,-130.225922,0.000000,0.000000,0.000000,0.355350,-0.366642,0.054687
100,0.222089,0.259375,-131.519638,0.000000,0.004999,0.003000,0.343783,-0.358431,0.053370
101,0.231191,0.263519,-132.755081,0.000000,0.000000,0.000000,0.338386,-0.342414,0.050839
102,0.238099,0.256289,-134.046509,0.000000,0.000000,0.000000,0.346524,-0.357806,0.053266
103,0.233054,0.247654,-135.379501,0.000000,0.000000,0.000000,0.356980,-0.369147,0.055156
104,0.223474,0.250524,-136.694077,0.000000,0.000000,0.000000,0.354125,-0.364184,0.054256
105,0.223822,0.260518,-137.987503,0.000000,0.021999,0.000000,0.342326,-0.358189,0.053523
