# Run 5: x_init=0.249, y_init=0.352, heading_init=-0.777, lightX=0.422, lightY=0.520
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight
0,0.255865,0.344558,-1.018216,0.000000,0.000000,0.000000,0.058486,-0.067120,0.009636
1,0.261113,0.336046,-1.269042,0.000000,0.000000,0.000000,0.059831,-0.069853,0.009987
2,0.264085,0.326498,-1.520846,0.000000,0.000000,0.000000,0.062490,-0.070149,0.010002
3,0.264585,0.316511,-1.785138,0.000000,0.000000,0.000000,0.066301,-0.073605,0.010522
4,0.262458,0.306740,-2.039574,0.000000,0.000000,0.000000,0.071051,-0.070845,0.010144
5,0.257940,0.297818,-2.378314,0.000000,0.000000,0.000000,0.076402,-0.094395,0.013430
6,0.250714,0.290905,-2.741943,0.000000,0.000000,0.000000,0.081949,-0.101244,0.014503
7,0.241502,0.287014,-3.067350,0.000000,0.000000,0.000000,0.086992,-0.090675,0.012905
8,0.231530,0.286273,-3.412732,0.000000,0.000000,0.000000,0.091040,-0.096215,0.013724
9,0.221895,0.288951,-3.820204,0.000000,0.000000,0.000000,0.093560,-0.113465,0.016237
10,0.214110,0.295228,-4.239339,0.000000,0.000000,0.138995,0.093875,-0.116828,0.016587
11,0.209554,0.304130,-4.801816,0.037998,0.236995,0.311997,0.091865,-0.155484,0.023558
12,0.210448,0.314090,-5.587712,0.363998,0.377998,0.325997,0.087282,-0.218340,0.031819
13,0.218125,0.320498,-6.216556,0.346997,0.000000,0.000000,0.081490,-0.176910,0.023257
14,0.228103,0.321163,-6.549082,0.000000,0.000000,0.000000,0.077253,-0.092653,0.013193
15,0.237751,0.318536,-6.902092,0.000000,0.000000,0.000000,0.074655,-0.098372,0.013995
16,0.245897,0.312734,-7.163463,0.000000,0.000000,0.000000,0.074091,-0.072785,0.010413
17,0.252266,0.305025,-7.430072,0.000000,0.000000,0.000000,0.075145,-0.074242,0.010622
18,0.256379,0.295910,-7.760177,0.000000,0.000000,0.000000,0.077769,-0.092020,0.013056
19,0.257316,0.285954,-8.063934,0.000000,0.000000,0.000000,0.082025,-0.084589,0.012100
20,0.255232,0.276174,-8.390426,0.000000,0.000000,0.000000,0.087393,-0.091030,0.012896
21,0.250121,0.267578,-8.755839,0.000000,0.000000,0.000000,0.093394,-0.101783,0.014532
22,0.242276,0.261377,-9.158975,0.000000,0.000000,0.000000,0.099326,-0.112269,0.016053
23,0.232627,0.258750,-9.581173,0.000000,0.000000,0.000000,0.104256,-0.117509,0.016881
24,0.222749,0.260308,-10.023650,0.000000,0.000000,0.000000,0.107285,-0.123178,0.017666
25,0.214490,0.265945,-10.501199,0.000000,0.000000,0.000000,0.107749,-0.132870,0.019138
26,0.209745,0.274747,-10.977585,0.000000,0.006999,0.110996,0.105344,-0.132748,0.018891
27,0.209565,0.284746,-11.530987,0.136995,0.183994,0.146995,0.100612,-0.153732,0.022421
28,0.214667,0.293346,-12.102546,0.231995,0.128995,0.000000,0.094494,-0.159514,0.022419
29,0.223610,0.297820,-12.434000,0.000000,0.000000,0.000000,0.088853,-0.092293,0.013212
30,0.233523,0.299140,-12.816336,0.000000,0.000000,0.000000,0.084431,-0.106506,0.015195
31,0.243212,0.296666,-13.125827,0.000000,0.000000,0.000000,0.081969,-0.086150,0.012364
32,0.251688,0.291359,-13.448928,0.000000,0.000000,0.000000,0.081409,-0.089903,0.012944
33,0.258039,0.283635,-13.768509,0.000000,0.000000,0.000000,0.082878,-0.089070,0.012656
34,0.261643,0.274307,-14.137395,0.000000,0.000000,0.000000,0.086209,-0.102667,0.014753
35,0.261641,0.264307,-14.481706,0.000000,0.000000,0.000000,0.091227,-0.095822,0.013776
36,0.258263,0.254895,-14.872881,0.000000,0.000000,0.000000,0.097228,-0.108976,0.015539
37,0.251552,0.247481,-15.277580,0.000000,0.000000,0.000000,0.103461,-0.112697,0.016123
38,0.242464,0.243309,-15.705947,0.000000,0.000000,0.000000,0.108936,-0.119318,0.017036
39,0.232464,0.243289,-16.155918,0.000000,0.000000,0.000000,0.112641,-0.125214,0.018016
40,0.223451,0.247620,-16.653456,0.000000,0.000000,0.000000,0.113761,-0.138567,0.019804
41,0.217597,0.255728,-17.090895,0.000000,0.000000,0.000000,0.111768,-0.121743,0.017498
42,0.215729,0.265552,-17.571112,0.000000,0.040998,0.049998,0.107436,-0.133405,0.019453
43,0.218612,0.275128,-18.117769,0.122996,0.083997,0.000000,0.101469,-0.152183,0.021823
44,0.226051,0.281810,-18.548077,0.060998,0.000000,0.000000,0.095266,-0.120096,0.016875
45,0.235600,0.284779,-18.911654,0.000000,0.000000,0.000000,0.090206,-0.101200,0.014530
46,0.245581,0.284158,-19.250168,0.000000,0.000000,0.000000,0.086875,-0.094320,0.013432
47,0.254789,0.280259,-19.611094,0.000000,0.000000,0.000000,0.085564,-0.100450,0.014436
48,0.262027,0.273358,-19.977913,0.000000,0.000000,0.000000,0.086553,-0.102191,0.014571
49,0.266308,0.264321,-20.356655,0.000000,0.000000,0.000000,0.089743,-0.105501,0.015056
50,0.266945,0.254342,-20.749222,0.000000,0.000000,0.000000,0.094752,-0.109246,0.015712
51,0.263715,0.244877,-21.133314,0.000000,0.000000,0.000000,0.100886,-0.106916,0.015344
52,0.257175,0.237313,-21.543209,0.000000,0.000000,0.000000,0.107223,-0.114156,0.016318
53,0.248161,0.232982,-22.047716,0.000000,0.000000,0.000000,0.112747,-0.140444,0.020146
54,0.238177,0.233547,-22.546179,0.000000,0.000000,0.000000,0.115996,-0.138685,0.019981
55,0.229678,0.238817,-23.058645,0.000000,0.000000,0.000000,0.116202,-0.142732,0.020391
56,0.224855,0.247577,-23.504114,0.000000,0.000000,0.000000,0.113229,-0.123997,0.017800
57,0.224277,0.257560,-23.939184,0.000000,0.002000,0.000000,0.108114,-0.121018,0.017469
58,0.227961,0.266857,-24.403730,0.067997,0.000000,0.000000,0.101873,-0.129723,0.018146
59,0.235419,0.273519,-24.809771,0.000000,0.000000,0.000000,0.095702,-0.112981,0.016265
60,0.244902,0.276692,-25.168421,0.000000,0.000000,0.000000,0.090695,-0.099858,0.014304
61,0.254896,0.276336,-25.481634,0.000000,0.000000,0.000000,0.087426,-0.087140,0.012559
62,0.264293,0.272917,-25.843044,0.000000,0.000000,0.000000,0.086051,-0.100655,0.014385
63,0.271875,0.266396,-26.200928,0.000000,0.000000,0.000000,0.086982,-0.099641,0.014277
64,0.276692,0.257633,-26.580486,0.000000,0.000000,0.000000,0.090082,-0.105707,0.015110
65,0.277919,0.247709,-26.953236,0.000000,0.000000,0.000000,0.095036,-0.103827,0.014823
66,0.275448,0.238019,-27.374975,0.000000,0.000000,0.000000,0.101129,-0.117384,0.016860
67,0.269227,0.230190,-27.791271,0.000000,0.000000,0.000000,0.107473,-0.115921,0.016591
68,0.260371,0.225545,-28.289906,0.000000,0.000000,0.000000,0.112975,-0.138789,0.019931
69,0.250372,0.225700,-28.793596,0.000000,0.000000,0.000000,0.116218,-0.140131,0.020198
70,0.241691,0.230663,-29.245169,0.000000,0.000000,0.000000,0.116378,-0.125775,0.017965
71,0.236045,0.238916,-29.696672,0.000000,0.000000,0.000000,0.113736,-0.125709,0.018009
72,0.234565,0.248806,-30.149284,0.000000,0.000000,0.000000,0.108823,-0.126068,0.018002
73,0.237560,0.258347,-30.530849,0.011999,0.000000,0.000000,0.102621,-0.106300,0.015156
74,0.243893,0.266087,-30.932163,0.007999,0.000000,0.000000,0.096331,-0.111772,0.015971
75,0.252745,0.270738,-31.342424,0.000000,0.000000,0.000000,0.090912,-0.114273,0.016317
76,0.262718,0.271473,-31.697905,0.000000,0.000000,0.000000,0.087267,-0.098957,0.014196
77,0.272323,0.268690,-32.070164,0.000000,0.000000,0.000000,0.085688,-0.103663,0.014831
78,0.280258,0.262604,-32.445591,0.000000,0.000000,0.000000,0.086472,-0.104539,0.014963
79,0.285409,0.254033,-32.832111,0.000000,0.000000,0.000000,0.089526,-0.107726,0.015307
80,0.286949,0.244152,-33.249638,0.000000,0.000000,0.000000,0.094464,-0.116234,0.016669
81,0.284350,0.234496,-33.683445,0.000000,0.000000,0.000000,0.100598,-0.120797,0.017288
82,0.277933,0.226827,-34.105309,0.000000,0.000000,0.000000,0.106848,-0.117470,0.016814
83,0.268938,0.222457,-34.554180,0.000000,0.000000,0.000000,0.112106,-0.125034,0.017847
84,0.258938,0.222424,-35.054516,0.000000,0.000000,0.000000,0.115289,-0.139223,0.020039
85,0.250148,0.227192,-35.525532,0.000000,0.000000,0.000000,0.115419,-0.131158,0.018772
86,0.244479,0.235429,-35.976284,0.000000,0.000000,0.000000,0.112642,-0.125528,0.017950
87,0.242964,0.245314,-36.386810,0.000000,0.000000,0.000000,0.107651,-0.114399,0.016276
88,0.245521,0.254982,-36.822849,0.000000,0.000000,0.000000,0.101520,-0.121403,0.017392
89,0.251921,0.262665,-37.226067,0.000000,0.000000,0.000000,0.095284,-0.112328,0.016020
90,0.260823,0.267221,-37.570896,0.000000,0.000000,0.000000,0.090007,-0.096086,0.013677
91,0.270741,0.268500,-37.946690,0.000000,0.000000,0.000000,0.086261,-0.104702,0.014917
92,0.280436,0.266049,-38.310318,0.000000,0.000000,0.000000,0.084659,-0.101289,0.014458
93,0.288625,0.260311,-38.699913,0.000000,0.000000,0.000000,0.085355,-0.108522,0.015490
94,0.294022,0.251892,-39.076050,0.000000,0.000000,0.000000,0.088390,-0.104816,0.014912
95,0.295948,0.242079,-39.448769,0.000000,0.000000,0.000000,0.093261,-0.103829,0.014812
96,0.294169,0.232238,-39.872276,0.000000,0.000000,0.000000,0.099283,-0.117933,0.016874
97,0.288503,0.223998,-40.290932,0.000000,0.000000,0.000000,0.105579,-0.116564,0.016698
98,0.279977,0.218774,-40.709930,0.000000,0.000000,0.000000,0.111052,-0.116650,0.016721
99,0.270062,0.217470,-41.176262,0.000000,0.000000,0.000000,0.114757,-0.129797,0.018640
100,0.260620,0.220762,-41.626091,0.000000,0.000000,0.000000,0.115735,-0.125321,0.017864
101,0.253549,0.227833,-42.070030,0.000000,0.000000,0.000000,0.113885,-0.123589,0.017721
102,0.250200,0.237256,-42.491833,0.000000,0.000000,0.000000,0.109605,-0.117375,0.016889
103,0.251002,0.247224,-42.902836,0.000000,0.000000,0.000000,0.103789,-0.114511,0.016316
104,0.255720,0.256041,-43.295765,0.000000,0.000000,0.000000,0.097461,-0.109424,0.015650
105,0.263455,0.262379,-43.677704,0.000000,0.000000,0.000000,0.091638,-0.106383,0.015191
106,0.272995,0.265379,-44.057938,0.000000,0.000000,0.000000,0.087164,-0.105827,0.015206
107,0.282966,0.264623,-44.423656,0.000000,0.000000,0.000000,0.084675,-0.101869,0.014543
108,0.292008,0.260351,-44.805775,0.000000,0.000000,0.000000,0.084442,-0.106402,0.015230
109,0.298804,0.253016,-45.179062,0.000000,0.000000,0.000000,0.086585,-0.103979,0.014842
110,0.302458,0.243707,-45.513908,0.000000,0.000000,0.000000,0.090758,-0.093205,0.013380
111,0.302850,0.233715,-45.901493,0.000000,0.000000,0.000000,0.096289,-0.107930,0.015442
112,0.299436,0.224316,-46.345966,0.000000,0.000000,0.000000,0.102589,-0.123850,0.017630
