# Run 8: x_init=0.694, y_init=0.365, heading_init=-1.232, lightX=0.147, lightY=0.592
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight
0,0.697534,0.355787,-2.557637,0.000000,0.000000,0.000000,0.359169,-0.367290,0.054760
1,0.689191,0.350274,-3.843813,0.000000,0.000000,0.000000,0.352684,-0.356360,0.053043
2,0.681557,0.356733,-5.091862,0.000000,0.000000,0.000000,0.341379,-0.345905,0.051361
3,0.685261,0.366022,-6.347763,0.000000,0.000000,0.000000,0.341070,-0.348005,0.051761
4,0.695240,0.365377,-7.614731,0.000000,0.000000,0.000000,0.352209,-0.351054,0.052235
5,0.697610,0.355661,-8.918474,0.000000,0.000000,0.000000,0.359313,-0.361076,0.053918
6,0.688864,0.350812,-10.203044,0.000000,0.000000,0.000000,0.352070,-0.355921,0.052970
7,0.681743,0.357832,-11.456461,0.000000,0.000000,0.000000,0.341062,-0.347347,0.051628
8,0.686190,0.366789,-12.761864,0.000000,0.000000,0.000000,0.341726,-0.361721,0.053802
9,0.696000,0.364846,-14.084375,0.000000,0.000000,0.000000,0.353284,-0.366344,0.054625
10,0.696528,0.354860,-15.379157,0.000000,0.000000,0.000000,0.358501,-0.358711,0.053431
11,0.687063,0.351631,-16.672565,0.000000,0.000000,0.000000,0.349726,-0.358352,0.053353
12,0.681366,0.359849,-17.924894,0.000000,0.000000,0.000000,0.339718,-0.347046,0.051583
13,0.687387,0.367834,-19.173376,0.000000,0.000000,0.000000,0.342548,-0.345981,0.051424
14,0.696867,0.364652,-20.476072,0.000000,0.000000,0.000000,0.354326,-0.360937,0.053724
15,0.696310,0.354667,-21.782501,0.000000,0.000000,0.000000,0.358354,-0.361842,0.054008
16,0.686527,0.352596,-23.065384,0.000000,0.000000,0.000000,0.348684,-0.355555,0.052799
17,0.681763,0.361388,-24.345999,0.000000,0.000000,0.000000,0.339431,-0.354907,0.052726
18,0.688825,0.368469,-25.608688,0.000000,0.000000,0.000000,0.343821,-0.349803,0.052123
19,0.697713,0.363887,-26.899092,0.000000,0.000000,0.000000,0.355606,-0.357507,0.053241
20,0.695770,0.354077,-28.199587,0.000000,0.000000,0.000000,0.358041,-0.360307,0.053654
21,0.685798,0.353331,-29.497044,0.000000,0.000000,0.000000,0.347546,-0.359407,0.053587
22,0.682387,0.362731,-30.771723,0.000000,0.000000,0.000000,0.339481,-0.353177,0.052566
23,0.690383,0.368736,-32.057396,0.000000,0.000000,0.000000,0.345393,-0.356192,0.053051
24,0.698395,0.362753,-33.380829,0.000000,0.000000,0.000000,0.356876,-0.366507,0.054755
25,0.694555,0.353519,-34.672539,0.000000,0.000000,0.000000,0.356974,-0.357752,0.053412
26,0.684621,0.354667,-35.937683,0.000000,0.000000,0.000000,0.345643,-0.350576,0.052132
27,0.682727,0.364486,-37.209446,0.000000,0.000000,0.000000,0.339043,-0.352330,0.052485
28,0.691551,0.369189,-38.499966,0.000000,0.000000,0.000000,0.346463,-0.357523,0.053262
29,0.698512,0.362010,-39.794449,0.000000,0.000000,0.000000,0.357347,-0.358635,0.053412
30,0.693504,0.353354,-41.105988,0.000000,0.000000,0.000000,0.355902,-0.363202,0.054274
31,0.683854,0.355976,-42.357243,0.000000,0.000000,0.000000,0.344198,-0.346698,0.051589
32,0.683312,0.365961,-43.611450,0.000000,0.000000,0.000000,0.339002,-0.347599,0.051628
33,0.692632,0.369585,-44.926174,0.000000,0.000000,0.000000,0.347465,-0.364121,0.054369
34,0.698498,0.361487,-46.274815,0.000000,0.000000,0.000000,0.357572,-0.373493,0.055792
35,0.691892,0.353980,-47.556305,0.000000,0.000000,0.000000,0.353843,-0.355003,0.052908
36,0.682812,0.358171,-48.809929,0.000000,0.000000,0.000000,0.342049,-0.347440,0.051601
37,0.683962,0.368105,-50.100555,0.000000,0.000000,0.000000,0.338735,-0.357592,0.053227
38,0.693826,0.369746,-51.412209,0.000000,0.000000,0.000000,0.348698,-0.363319,0.054193
39,0.697941,0.360632,-52.730671,0.000000,0.000000,0.000000,0.357352,-0.365150,0.054530
40,0.690143,0.354372,-54.026596,0.000000,0.000000,0.000000,0.351753,-0.359024,0.053482
41,0.682001,0.360179,-55.277718,0.000000,0.000000,0.000000,0.340245,-0.346772,0.051473
42,0.684955,0.369732,-56.557724,0.000000,0.000000,0.000000,0.339077,-0.354676,0.052763
43,0.694954,0.369642,-57.821774,0.000000,0.000000,0.000000,0.349981,-0.350206,0.052153
44,0.697888,0.360082,-59.119648,0.000000,0.000000,0.000000,0.357549,-0.359558,0.053569
45,0.689472,0.354680,-60.420116,0.000000,0.000000,0.000000,0.350878,-0.360156,0.053796
46,0.682019,0.361348,-61.650887,0.000000,0.000000,0.000000,0.339723,-0.341158,0.050609
47,0.685820,0.370598,-62.938995,0.000000,0.000000,0.000000,0.339624,-0.356928,0.053089
48,0.695762,0.369528,-64.261360,0.000000,0.000000,0.000000,0.350917,-0.366172,0.054749
49,0.697170,0.359628,-65.553055,0.000000,0.000000,0.000000,0.356969,-0.357807,0.053353
50,0.688041,0.355547,-66.854187,0.000000,0.000000,0.000000,0.348916,-0.360487,0.053676
51,0.681675,0.363259,-68.102028,0.000000,0.000000,0.000000,0.338477,-0.345828,0.051372
52,0.686968,0.371743,-69.350182,0.000000,0.000000,0.000000,0.340358,-0.345938,0.051361
53,0.696693,0.369413,-70.657082,0.000000,0.000000,0.000000,0.351992,-0.362062,0.053938
54,0.696981,0.359417,-71.945801,0.000000,0.000000,0.000000,0.356858,-0.357040,0.053172
55,0.687460,0.356359,-73.213745,0.000000,0.000000,0.000000,0.347904,-0.351350,0.052249
56,0.681701,0.364534,-74.460060,0.000000,0.000000,0.000000,0.337923,-0.345364,0.051349
57,0.687614,0.372599,-75.715958,0.000000,0.000000,0.000000,0.340679,-0.348053,0.051711
58,0.697113,0.369475,-77.015579,0.000000,0.000000,0.000000,0.352426,-0.359976,0.053708
59,0.696648,0.359486,-78.339546,0.000000,0.000000,0.000000,0.356460,-0.366666,0.054766
60,0.686848,0.357496,-79.638809,0.000000,0.000000,0.000000,0.346707,-0.359943,0.053626
61,0.682303,0.366404,-80.879471,0.000000,0.000000,0.000000,0.337720,-0.343943,0.050971
62,0.689256,0.373591,-82.139282,0.000000,0.000000,0.000000,0.342024,-0.349130,0.051880
63,0.698226,0.369171,-83.435608,0.000000,0.000000,0.000000,0.353788,-0.359165,0.053468
64,0.696402,0.359338,-84.759148,0.000000,0.000000,0.000000,0.356259,-0.366581,0.054714
65,0.686422,0.358700,-86.033989,0.000000,0.000000,0.000000,0.345685,-0.353278,0.052516
66,0.682901,0.368060,-87.283386,0.000000,0.000000,0.000000,0.337617,-0.346249,0.051448
67,0.690670,0.374357,-88.544281,0.000000,0.000000,0.000000,0.343226,-0.349410,0.051945
68,0.699036,0.368879,-89.829735,0.000000,0.000000,0.000000,0.354812,-0.356143,0.053029
69,0.696135,0.359310,-91.147087,0.000000,0.000000,0.000000,0.355978,-0.364860,0.054466
70,0.686143,0.359718,-92.445953,0.000000,0.000000,0.000000,0.344910,-0.359790,0.053653
71,0.683853,0.369453,-93.692787,0.000000,0.000000,0.000000,0.338017,-0.345553,0.051326
