# Run 7: x_init=0.235, y_init=0.489, heading_init=-0.458, lightX=0.740, lightY=0.862
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight,state
0,0.243594,0.484095,0.207559,0.000000,0.000000,0.000000,0.389671,0.805867,0.594133,SEEK_LIGHT
1,0.253380,0.486155,0.477815,0.000000,0.000000,0.000000,0.378494,0.743013,0.656987,SEEK_LIGHT
2,0.262260,0.490754,0.587694,0.000000,0.000000,0.000000,0.366489,0.717488,0.682512,SEEK_LIGHT
3,0.270582,0.496298,0.632383,0.000000,0.000000,0.000000,0.354514,0.707112,0.692888,SEEK_LIGHT
4,0.278648,0.502209,0.650564,0.000000,0.000000,0.000000,0.342711,0.702894,0.697106,SEEK_LIGHT
5,0.286606,0.508265,0.657962,0.000000,0.000000,0.000000,0.331103,0.701178,0.698822,SEEK_LIGHT
6,0.294518,0.514380,0.660974,0.000000,0.000000,0.000000,0.319695,0.700479,0.699521,SEEK_LIGHT
7,0.302412,0.520519,0.662201,0.000000,0.000000,0.000000,0.308487,0.700195,0.699805,SEEK_LIGHT
8,0.310298,0.526668,0.662700,0.000000,0.000000,0.000000,0.297478,0.700080,0.699920,SEEK_LIGHT
9,0.318182,0.532820,0.662904,0.000000,0.000000,0.000000,0.286670,0.700032,0.699968,SEEK_LIGHT
10,0.326064,0.538974,0.662987,0.000000,0.000000,0.000000,0.276062,0.700013,0.699987,SEEK_LIGHT
11,0.333945,0.545129,0.663021,0.000000,0.000000,0.000000,0.265654,0.700005,0.699995,SEEK_LIGHT
12,0.341827,0.551284,0.663035,0.000000,0.000000,0.000000,0.255445,0.700002,0.699998,SEEK_LIGHT
13,0.349708,0.557439,0.663040,0.000000,0.000000,0.000000,0.245437,0.700001,0.699999,SEEK_LIGHT
14,0.357589,0.563594,0.663042,0.000000,0.000000,0.000000,0.235629,0.700000,0.700000,SEEK_LIGHT
15,0.365470,0.569749,0.663043,0.000000,0.000000,0.000000,0.226020,0.700000,0.700000,SEEK_LIGHT
16,0.373352,0.575905,0.663044,0.000000,0.000000,0.044998,0.216612,0.700000,0.700000,SEEK_LIGHT
17,0.381233,0.582060,0.663044,0.000000,0.000000,0.100996,0.207404,0.700000,0.700000,SEEK_LIGHT
18,0.389114,0.588215,0.663044,0.000000,0.000000,0.156995,0.198395,0.700000,0.700000,SEEK_LIGHT
19,0.396995,0.594370,0.663044,0.000000,0.061998,0.212995,0.189587,0.700000,0.700000,SEEK_LIGHT
20,0.404877,0.600525,0.663044,0.000000,0.127995,0.268996,0.180979,0.700000,0.700000,SEEK_LIGHT
21,0.412758,0.606681,0.977203,0.000000,0.194995,0.324997,0.172570,0.700000,0.600000,WALL_FOLLOW_RIGHT
22,0.418351,0.614970,1.291362,0.000000,0.000000,0.261996,0.164769,0.700000,0.600000,WALL_FOLLOW_RIGHT
23,0.421109,0.624582,0.900848,0.000000,0.000000,0.025999,0.158337,0.637848,0.762152,SEEK_LIGHT
24,0.427319,0.632421,1.215007,0.000000,0.151995,0.367998,0.150747,0.700000,0.600000,WALL_FOLLOW_RIGHT
25,0.430802,0.641794,1.529166,0.000000,0.000000,0.218995,0.144357,0.700000,0.600000,WALL_FOLLOW_RIGHT
26,0.431218,0.651786,0.970653,0.000000,0.000000,0.000000,0.139791,0.611110,0.788890,SEEK_LIGHT
27,0.436866,0.660038,1.284813,0.000000,0.187995,0.420998,0.132926,0.700000,0.600000,WALL_FOLLOW_RIGHT
28,0.439687,0.669632,1.598972,0.000000,0.000000,0.253996,0.127432,0.700000,0.600000,WALL_FOLLOW_RIGHT
29,0.439405,0.679628,0.967200,0.000000,0.000000,0.000000,0.123848,0.599450,0.800550,SEEK_LIGHT
30,0.445081,0.687861,1.281359,0.000000,0.287996,0.491000,0.117525,0.700000,0.600000,WALL_FOLLOW_RIGHT
31,0.447935,0.697445,1.595518,0.000000,0.000000,0.353997,0.112595,0.700000,0.600000,WALL_FOLLOW_RIGHT
32,0.447688,0.707442,0.930505,0.000000,0.000000,0.000000,0.109542,0.594160,0.805840,SEEK_LIGHT
33,0.453662,0.715461,-2.211088,0.000000,0.415998,0.572001,0.103663,-0.500000,0.500000,TURN_LEFT
34,0.447688,0.707442,-5.352681,0.000000,0.000000,0.000000,0.109542,-0.500000,0.500000,TURN_LEFT
35,0.453662,0.715461,-8.494273,0.000000,0.415998,0.572001,0.103663,-0.500000,0.500000,TURN_LEFT
36,0.447688,0.707442,-11.635866,0.000000,0.000000,0.000000,0.109542,-0.500000,0.500000,TURN_LEFT
37,0.453662,0.715461,-14.777459,0.000000,0.415998,0.572001,0.103663,-0.500000,0.500000,TURN_LEFT
38,0.447688,0.707442,-17.919052,0.000000,0.000000,0.000000,0.109542,-0.500000,0.500000,TURN_LEFT
39,0.453662,0.715461,-21.060644,0.000000,0.415998,0.572001,0.103663,-0.500000,0.500000,TURN_LEFT
40,0.447688,0.707442,-24.202236,0.000000,0.000000,0.000000,0.109542,-0.500000,0.500000,TURN_LEFT
41,0.453662,0.715461,-27.343828,0.000000,0.415998,0.572001,0.103663,-0.500000,0.500000,TURN_LEFT
42,0.447688,0.707442,-30.485420,0.000000,0.000000,0.000000,0.109542,-0.500000,0.500000,TURN_LEFT
43,0.453662,0.715461,-33.627014,0.000000,0.415998,0.572001,0.103663,-0.500000,0.500000,TURN_LEFT
44,0.447688,0.707442,-36.768608,0.000000,0.000000,0.000000,0.109542,-0.500000,0.500000,TURN_LEFT
45,0.453662,0.715461,-39.910202,0.000000,0.415998,0.572001,0.103663,-0.500000,0.500000,TURN_LEFT
46,0.447688,0.707442,-43.051796,0.000000,0.000000,0.000000,0.109542,-0.500000,0.500000,TURN_LEFT
47,0.453662,0.715461,-46.193390,0.000000,0.415998,0.572001,0.103663,-0.500000,0.500000,TURN_LEFT
48,0.447688,0.707442,-49.334984,0.000000,0.000000,0.000000,0.109542,-0.500000,0.500000,TURN_LEFT
49,0.453663,0.715461,-52.476578,0.000000,0.415998,0.572001,0.103663,-0.500000,0.500000,TURN_LEFT
50,0.447688,0.707442,-55.618172,0.000000,0.000000,0.000000,0.109542,-0.500000,0.500000,TURN_LEFT
51,0.453663,0.715461,-58.759766,0.000000,0.415998,0.572001,0.103663,-0.500000,0.500000,TURN_LEFT
52,0.447688,0.707442,-61.901360,0.000000,0.000000,0.000000,0.109542,-0.500000,0.500000,TURN_LEFT
53,0.453663,0.715461,-65.042953,0.000000,0.415998,0.572001,0.103663,-0.500000,0.500000,TURN_LEFT
54,0.447688,0.707442,-63.423992,0.000000,0.000000,0.000000,0.109542,0.957665,0.442335,SEEK_LIGHT
55,0.455986,0.701861,-62.481514,0.637001,0.579001,0.433999,0.106518,0.800000,0.500000,WALL_FOLLOW_LEFT
56,0.465378,0.705293,-62.380116,0.627001,0.687000,0.706000,0.100178,0.716138,0.683862,SEEK_LIGHT
57,0.474375,0.709658,-62.380116,0.679000,0.743000,0.767000,0.093963,-0.800000,-0.800000,AVOID_OBSTACLE
58,0.483372,0.714024,-62.380116,0.763000,0.810000,0.827000,0.087947,-0.800000,-0.800000,AVOID_OBSTACLE
59,0.492369,0.718389,-62.380116,0.846000,0.876000,0.888000,0.082131,-0.800000,-0.800000,AVOID_OBSTACLE
60,0.501366,0.722754,-62.380116,0.929000,0.943000,0.948000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
61,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
62,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
63,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
64,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
65,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
66,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
67,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
68,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
69,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
70,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
71,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
72,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
73,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
74,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
75,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
76,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
77,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
78,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
79,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
80,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
81,0.501366,0.722754,-62.380116,1.000000,1.000000,1.000000,0.076515,-0.800000,-0.800000,AVOID_OBSTACLE
