# Run 6: x_init=0.303, y_init=0.219, heading_init=-0.388, lightX=0.101, lightY=0.446
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight,state
51,0.216118,0.332190,6.332517,0.272996,0.000000,0.000000,0.026088,0.600000,0.700000,WALL_FOLLOW_LEFT
52,0.226106,0.332683,6.756345,0.000000,0.000000,0.000000,0.028366,0.277454,0.142546,SEEK_LIGHT
53,0.235007,0.337240,6.442186,0.393998,0.000000,0.000000,0.029653,0.600000,0.700000,WALL_FOLLOW_LEFT
54,0.244881,0.338824,6.863567,0.000000,0.000000,0.000000,0.032046,0.277065,0.142935,SEEK_LIGHT
55,0.253244,0.344307,6.549408,0.502000,0.000000,0.000000,0.033370,0.600000,0.700000,WALL_FOLLOW_LEFT
56,0.262891,0.346938,6.967936,0.000000,0.000000,0.000000,0.035863,0.276611,0.143389,SEEK_LIGHT
57,0.270637,0.353263,10.109529,0.603001,0.000000,0.000000,0.037212,0.500000,-0.500000,TURN_RIGHT
58,0.262891,0.346938,13.251122,0.000000,0.000000,0.000000,0.035863,0.500000,-0.500000,TURN_RIGHT
59,0.270637,0.353263,16.392714,0.603001,0.000000,0.000000,0.037212,0.500000,-0.500000,TURN_RIGHT
60,0.262891,0.346938,19.534306,0.000000,0.000000,0.000000,0.035863,0.500000,-0.500000,TURN_RIGHT
61,0.270637,0.353263,22.675898,0.603001,0.000000,0.000000,0.037212,0.500000,-0.500000,TURN_RIGHT
62,0.262891,0.346938,25.817490,0.000000,0.000000,0.000000,0.035863,0.500000,-0.500000,TURN_RIGHT
63,0.270637,0.353263,28.959082,0.603001,0.000000,0.000000,0.037212,0.500000,-0.500000,TURN_RIGHT
64,0.262891,0.346938,32.100674,0.000000,0.000000,0.000000,0.035863,0.500000,-0.500000,TURN_RIGHT
65,0.270637,0.353263,35.242268,0.603001,0.000000,0.000000,0.037212,0.500000,-0.500000,TURN_RIGHT
66,0.262891,0.346938,38.383862,0.000000,0.000000,0.000000,0.035863,0.500000,-0.500000,TURN_RIGHT
67,0.270637,0.353263,41.525455,0.603001,0.000000,0.000000,0.037212,0.500000,-0.500000,TURN_RIGHT
68,0.262891,0.346938,44.667049,0.000000,0.000000,0.000000,0.035863,0.500000,-0.500000,TURN_RIGHT
69,0.270637,0.353263,47.808643,0.603001,0.000000,0.000000,0.037212,0.500000,-0.500000,TURN_RIGHT
70,0.262891,0.346938,50.950237,0.000000,0.000000,0.000000,0.035863,0.500000,-0.500000,TURN_RIGHT
71,0.270637,0.353263,54.091831,0.603001,0.000000,0.000000,0.037212,0.500000,-0.500000,TURN_RIGHT
72,0.262891,0.346938,57.233425,0.000000,0.000000,0.000000,0.035863,0.500000,-0.500000,TURN_RIGHT
73,0.270637,0.353263,60.375019,0.603001,0.000000,0.000000,0.037212,0.500000,-0.500000,TURN_RIGHT
74,0.262891,0.346938,63.516613,0.000000,0.000000,0.000000,0.035863,0.500000,-0.500000,TURN_RIGHT
75,0.270637,0.353263,66.658203,0.603001,0.000000,0.000000,0.037212,0.500000,-0.500000,TURN_RIGHT
76,0.262891,0.346938,69.799797,0.000000,0.000000,0.000000,0.035863,0.500000,-0.500000,TURN_RIGHT
