# Run 9: x_init=0.616, y_init=0.337, heading_init=1.800, lightX=0.747, lightY=0.323
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight,state
0,0.613563,0.346855,1.444525,0.000000,0.000000,0.000000,0.018483,0.153411,0.266589,SEEK_LIGHT
1,0.614823,0.356775,1.139813,0.000000,0.000000,0.000000,0.018716,0.161503,0.258497,SEEK_LIGHT
2,0.619000,0.365861,0.876859,0.000000,0.000000,0.000000,0.018319,0.168150,0.251850,SEEK_LIGHT
3,0.625396,0.373548,0.648530,0.000000,0.000000,0.000000,0.017433,0.173660,0.246340,SEEK_LIGHT
4,0.633366,0.379588,0.449092,0.000000,0.000000,0.000000,0.016196,0.178258,0.241742,SEEK_LIGHT
5,0.642374,0.383930,0.273849,0.000000,0.000000,0.000000,0.014731,0.182109,0.237891,SEEK_LIGHT
6,0.652001,0.386634,0.118896,0.000000,0.000000,0.000000,0.013137,0.185338,0.234662,SEEK_LIGHT
7,0.661931,0.387820,-0.019066,0.000000,0.000000,0.000000,0.011493,0.188043,0.231957,SEEK_LIGHT
8,0.671929,0.387630,-0.142858,0.000000,0.000000,0.000000,0.009858,0.190298,0.229702,SEEK_LIGHT
9,0.681827,0.386206,-0.254948,0.000000,0.000000,0.000000,0.008280,0.192160,0.227840,SEEK_LIGHT
10,0.691504,0.383684,-0.357543,0.000000,0.000000,0.000000,0.006792,0.193672,0.226328,SEEK_LIGHT
11,0.700871,0.380184,-0.452692,0.000000,0.000000,0.000000,0.005421,0.194857,0.225143,SEEK_LIGHT
12,0.709864,0.375810,-0.542410,0.000000,0.000000,0.000000,0.004184,0.195721,0.224279,SEEK_LIGHT
13,0.718429,0.370648,-0.628844,0.000000,0.000000,0.000000,0.003097,0.196244,0.223756,SEEK_LIGHT
14,0.726516,0.364766,-0.714564,0.000000,0.000000,0.000000,0.002169,0.196357,0.223643,SEEK_LIGHT
15,0.734070,0.358213,-0.803147,0.000000,0.000000,0.000000,0.001408,0.195902,0.224098,SEEK_LIGHT
16,0.741014,0.351018,-0.900580,0.000000,0.000000,0.000000,0.000818,0.194493,0.225507,SEEK_LIGHT
17,0.747226,0.343181,-1.019368,0.000000,0.000000,0.000000,0.000401,0.191094,0.228906,SEEK_LIGHT
18,0.752465,0.334663,-1.192813,0.000000,0.000000,0.000000,0.000158,0.182395,0.237605,SEEK_LIGHT
19,0.756155,0.325369,-1.498778,0.000000,0.000000,0.000000,0.000081,0.161304,0.258696,SEEK_LIGHT
20,0.756875,0.315395,-1.918259,0.000000,0.000000,0.000000,0.000149,0.143238,0.276762,SEEK_LIGHT
21,0.753470,0.305993,-2.360298,0.000000,0.000000,0.000000,0.000331,0.139647,0.280353,SEEK_LIGHT
22,0.746370,0.298951,-2.791570,0.000000,0.000000,0.000000,0.000587,0.141361,0.278639,SEEK_LIGHT
23,0.736976,0.295522,-3.202436,0.000000,0.000000,0.000000,0.000873,0.144609,0.275391,SEEK_LIGHT
24,0.726995,0.296130,-3.590784,0.000000,0.000000,0.000000,0.001148,0.148192,0.271808,SEEK_LIGHT
25,0.717987,0.300472,-3.957279,0.000000,0.000000,0.000000,0.001381,0.151670,0.268330,SEEK_LIGHT
26,0.711133,0.307754,-4.303730,0.000000,0.000000,0.000000,0.001555,0.154861,0.265139,SEEK_LIGHT
27,0.707159,0.316931,-4.632446,0.000000,0.000000,0.000000,0.001661,0.157683,0.262317,SEEK_LIGHT
28,0.706361,0.326899,-4.945957,0.000000,0.000000,0.000000,0.001701,0.160103,0.259897,SEEK_LIGHT
