# Run 4: x_init=0.862, y_init=0.401, heading_init=-1.539, lightX=0.602, lightY=0.586
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight,state
0,0.862376,0.390991,-2.886903,0.000000,0.000000,0.000000,0.105991,0.485492,0.914508,SEEK_LIGHT
1,0.852699,0.388471,-3.440718,0.000000,0.000000,0.000000,0.102036,0.611858,0.788142,SEEK_LIGHT
2,0.843143,0.391418,-3.669227,0.000000,0.000000,0.000000,0.096178,0.663632,0.736368,SEEK_LIGHT
3,0.834503,0.396453,-3.763663,0.000000,0.000000,0.000000,0.090147,0.684970,0.715030,SEEK_LIGHT
4,0.826376,0.402280,-3.802738,0.000000,0.000000,0.000000,0.084254,0.693781,0.706219,SEEK_LIGHT
5,0.818483,0.408420,-3.818925,0.000000,0.000000,0.000000,0.078551,0.697424,0.702576,SEEK_LIGHT
6,0.810691,0.414688,-3.825640,0.000000,0.000000,0.000000,0.073046,0.698931,0.701069,SEEK_LIGHT
7,0.802941,0.421007,-3.828429,0.000000,0.000000,0.000000,0.067740,0.699556,0.700444,SEEK_LIGHT
8,0.795208,0.427348,-3.829589,0.000000,0.000000,0.000000,0.062635,0.699815,0.700185,SEEK_LIGHT
9,0.787483,0.433698,-3.830072,0.000000,0.000000,0.000000,0.057729,0.699923,0.700077,SEEK_LIGHT
10,0.779761,0.440051,-3.830274,0.000000,0.000000,0.000000,0.053024,0.699968,0.700032,SEEK_LIGHT
11,0.772040,0.446407,-3.830299,0.000000,0.000000,0.000000,0.048519,0.209996,0.210004,SEEK_LIGHT
12,0.764319,0.452762,-3.830321,0.000000,0.000000,0.000000,0.044213,0.209997,0.210003,SEEK_LIGHT
13,0.756599,0.459118,-3.830340,0.000000,0.000000,0.000000,0.040108,0.209997,0.210003,SEEK_LIGHT
14,0.748878,0.465473,-3.830356,0.000000,0.000000,0.000000,0.036202,0.209997,0.210003,SEEK_LIGHT
15,0.741158,0.471829,-3.830370,0.000000,0.000000,0.000000,0.032497,0.209998,0.210002,SEEK_LIGHT
16,0.733438,0.478185,-3.830382,0.000000,0.000000,0.000000,0.028992,0.209998,0.210002,SEEK_LIGHT
17,0.725717,0.484541,-3.830393,0.000000,0.000000,0.000000,0.025686,0.209998,0.210002,SEEK_LIGHT
18,0.717997,0.490897,-3.830402,0.000000,0.000000,0.000000,0.022581,0.209999,0.210001,SEEK_LIGHT
19,0.710277,0.497253,-3.830410,0.000000,0.000000,0.000000,0.019676,0.209999,0.210001,SEEK_LIGHT
20,0.702557,0.503610,-3.830417,0.000000,0.000000,0.000000,0.016970,0.209999,0.210001,SEEK_LIGHT
21,0.694837,0.509966,-3.830424,0.000000,0.000000,0.000000,0.014465,0.209999,0.210001,SEEK_LIGHT
22,0.687117,0.516322,-3.830430,0.000000,0.000000,0.000000,0.012159,0.209999,0.210001,SEEK_LIGHT
23,0.679398,0.522679,-3.830435,0.000000,0.000000,0.000000,0.010054,0.209999,0.210001,SEEK_LIGHT
