# Run 10: x_init=0.491, y_init=0.719, heading_init=1.455, lightX=0.192, lightY=0.585
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight,state
0,0.492180,0.729288,-1.686280,0.000000,0.479999,0.856000,0.110813,-0.500000,0.500000,TURN_LEFT
1,0.491028,0.719355,-4.827872,0.735000,0.000000,0.000000,0.107355,-0.500000,0.500000,TURN_LEFT
2,0.492180,0.729288,-7.969465,0.000000,0.479999,0.856000,0.110813,-0.500000,0.500000,TURN_LEFT
3,0.491028,0.719355,-11.111057,0.735000,0.000000,0.000000,0.107355,-0.500000,0.500000,TURN_LEFT
4,0.492180,0.729288,-14.252650,0.000000,0.479999,0.856000,0.110813,-0.500000,0.500000,TURN_LEFT
5,0.491028,0.719355,-17.394243,0.735000,0.000000,0.000000,0.107355,-0.500000,0.500000,TURN_LEFT
6,0.492180,0.729288,-20.535835,0.000000,0.479999,0.856000,0.110813,-0.500000,0.500000,TURN_LEFT
7,0.491028,0.719355,-23.677427,0.735000,0.000000,0.000000,0.107355,-0.500000,0.500000,TURN_LEFT
8,0.492180,0.729288,-26.819019,0.000000,0.479999,0.856000,0.110813,-0.500000,0.500000,TURN_LEFT
9,0.491028,0.719355,-29.960611,0.735000,0.000000,0.000000,0.107355,-0.500000,0.500000,TURN_LEFT
10,0.492180,0.729288,-33.102203,0.000000,0.479999,0.856000,0.110813,-0.500000,0.500000,TURN_LEFT
11,0.491028,0.719355,-36.243797,0.735000,0.000000,0.000000,0.107355,-0.500000,0.500000,TURN_LEFT
12,0.492180,0.729288,-39.385391,0.000000,0.479999,0.856000,0.110813,-0.500000,0.500000,TURN_LEFT
13,0.491028,0.719355,-42.526985,0.735000,0.000000,0.000000,0.107355,-0.500000,0.500000,TURN_LEFT
14,0.492180,0.729288,-45.668579,0.000000,0.479999,0.856000,0.110813,-0.500000,0.500000,TURN_LEFT
15,0.491028,0.719355,-48.810173,0.735000,0.000000,0.000000,0.107355,-0.500000,0.500000,TURN_LEFT
16,0.492180,0.729288,-51.951767,0.000000,0.479999,0.856000,0.110813,-0.500000,0.500000,TURN_LEFT
17,0.491028,0.719355,-55.093361,0.735000,0.000000,0.000000,0.107355,-0.500000,0.500000,TURN_LEFT
18,0.492180,0.729288,-58.234955,0.000000,0.479999,0.856000,0.110813,-0.500000,0.500000,TURN_LEFT
19,0.491028,0.719355,-61.376549,0.735000,0.000000,0.000000,0.107355,-0.500000,0.500000,TURN_LEFT
20,0.492180,0.729288,-64.518143,0.000000,0.479999,0.856000,0.110813,-0.500000,0.500000,TURN_LEFT
21,0.491028,0.719355,-65.137817,0.735000,0.000000,0.000000,0.107355,0.601376,0.798624,SEEK_LIGHT
22,0.484320,0.711938,-65.393250,0.000000,0.000000,0.000000,0.101453,0.659347,0.740653,SEEK_LIGHT
23,0.475957,0.706456,-65.498718,0.000000,0.000000,0.000000,0.095275,0.683215,0.716785,SEEK_LIGHT
24,0.467063,0.701885,-65.542313,0.000000,0.000000,0.000000,0.089217,0.693062,0.706938,SEEK_LIGHT
25,0.457978,0.697706,-65.560356,0.000000,0.000000,0.000000,0.083346,0.697129,0.702871,SEEK_LIGHT
