# Run 1: x_init=0.340, y_init=0.690, heading_init=2.251, lightX=0.536, lightY=0.746
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight,state
0,0.334199,0.697833,1.888030,0.000000,0.000000,0.000000,0.043128,0.152278,0.267722,SEEK_LIGHT
1,0.331079,0.707334,1.582037,0.000000,0.000000,0.000000,0.043565,0.161300,0.258700,SEEK_LIGHT
2,0.330967,0.717334,1.322567,0.000000,0.000000,0.000000,0.042931,0.168704,0.251296,SEEK_LIGHT
3,0.333424,0.727027,1.101619,0.000000,0.000000,0.000000,0.041460,0.174835,0.245165,SEEK_LIGHT
4,0.337945,0.735947,0.912775,0.000000,0.000000,0.000000,0.039382,0.179945,0.240055,SEEK_LIGHT
5,0.344061,0.743859,0.750817,0.000000,0.000000,0.000000,0.036894,0.184224,0.235776,SEEK_LIGHT
6,0.351372,0.750681,0.611458,0.000000,0.000000,0.000000,0.034151,0.187820,0.232180,SEEK_LIGHT
7,0.359560,0.756422,0.491147,0.000000,0.000000,0.000000,0.031275,0.190852,0.229148,SEEK_LIGHT
8,0.368378,0.761138,0.386921,0.000000,0.000000,0.047998,0.028356,0.193412,0.226588,SEEK_LIGHT
9,0.377639,0.764912,0.296297,0.000000,0.000000,0.119996,0.025461,0.195577,0.224423,SEEK_LIGHT
10,0.387203,0.767831,0.217186,0.000000,0.000000,0.183994,0.022638,0.197409,0.222591,SEEK_LIGHT
11,0.396968,0.769986,0.147817,0.000000,0.228995,0.243996,0.019922,0.198960,0.221040,SEEK_LIGHT
12,0.406859,0.771459,0.461976,0.000000,0.304997,0.302996,0.017339,0.700000,0.600000,WALL_FOLLOW_RIGHT
13,0.415811,0.775916,0.776135,0.000000,0.000000,0.371998,0.015348,0.700000,0.600000,WALL_FOLLOW_RIGHT
14,0.422947,0.782921,0.580183,0.000000,0.000000,0.000000,0.014145,0.178813,0.241187,SEEK_LIGHT
15,0.431311,0.788403,0.407079,0.000000,0.000000,0.000000,0.012753,0.182450,0.237550,SEEK_LIGHT
16,0.440494,0.792363,-2.734514,0.000000,0.000000,0.540000,0.011261,-0.500000,0.500000,TURN_LEFT
17,0.431311,0.788403,-5.876106,0.000000,0.000000,0.000000,0.012753,-0.500000,0.500000,TURN_LEFT
18,0.440494,0.792363,-9.017699,0.000000,0.000000,0.540000,0.011261,-0.500000,0.500000,TURN_LEFT
19,0.431311,0.788403,-12.159292,0.000000,0.000000,0.000000,0.012753,-0.500000,0.500000,TURN_LEFT
20,0.440494,0.792363,-15.300885,0.000000,0.000000,0.540000,0.011261,-0.500000,0.500000,TURN_LEFT
21,0.431311,0.788403,-18.442478,0.000000,0.000000,0.000000,0.012753,-0.500000,0.500000,TURN_LEFT
22,0.440494,0.792363,-21.584070,0.000000,0.000000,0.540000,0.011261,-0.500000,0.500000,TURN_LEFT
23,0.431311,0.788403,-24.725662,0.000000,0.000000,0.000000,0.012753,-0.500000,0.500000,TURN_LEFT
24,0.440494,0.792363,-27.867254,0.000000,0.000000,0.540000,0.011261,-0.500000,0.500000,TURN_LEFT
25,0.431311,0.788403,-31.008846,0.000000,0.000000,0.000000,0.012753,-0.500000,0.500000,TURN_LEFT
26,0.440494,0.792363,-34.150440,0.000000,0.000000,0.540000,0.011261,-0.500000,0.500000,TURN_LEFT
27,0.431311,0.788403,-37.292034,0.000000,0.000000,0.000000,0.012753,-0.500000,0.500000,TURN_LEFT
28,0.440494,0.792363,-40.433628,0.000000,0.000000,0.540000,0.011261,-0.500000,0.500000,TURN_LEFT
29,0.431311,0.788403,-43.575222,0.000000,0.000000,0.000000,0.012753,-0.500000,0.500000,TURN_LEFT
30,0.440494,0.792363,-46.716816,0.000000,0.000000,0.540000,0.011261,-0.500000,0.500000,TURN_LEFT
31,0.431311,0.788403,-49.858410,0.000000,0.000000,0.000000,0.012753,-0.500000,0.500000,TURN_LEFT
32,0.440494,0.792363,-53.000004,0.000000,0.000000,0.540000,0.011261,-0.500000,0.500000,TURN_LEFT
33,0.431311,0.788403,-56.141598,0.000000,0.000000,0.000000,0.012753,-0.500000,0.500000,TURN_LEFT
34,0.440494,0.792362,-59.283192,0.000000,0.000000,0.540000,0.011261,-0.500000,0.500000,TURN_LEFT
35,0.431311,0.788403,-62.424786,0.000000,0.000000,0.000000,0.012753,-0.500000,0.500000,TURN_LEFT
36,0.440494,0.792362,-65.566376,0.000000,0.000000,0.540000,0.011261,-0.500000,0.500000,TURN_LEFT
37,0.431311,0.788403,-65.142830,0.000000,0.000000,0.000000,0.012753,0.277409,0.142591,SEEK_LIGHT
38,0.424567,0.781020,-64.781082,0.000000,0.000000,0.000000,0.013646,0.267574,0.152426,SEEK_LIGHT
39,0.420872,0.771727,-64.469223,0.000000,0.000000,0.000000,0.013926,0.259634,0.160366,SEEK_LIGHT
40,0.420207,0.761750,-64.198257,0.000000,0.000000,0.000000,0.013673,0.253125,0.166875,SEEK_LIGHT
41,0.422236,0.751958,-63.961147,0.000000,0.000000,0.000000,0.013001,0.247737,0.172263,SEEK_LIGHT
42,0.426509,0.742917,-63.752224,0.243996,0.000000,0.000000,0.012027,0.243251,0.176749,SEEK_LIGHT
43,0.432565,0.734958,-64.066383,0.402998,0.189995,0.000000,0.010854,0.600000,0.700000,WALL_FOLLOW_LEFT
44,0.435864,0.725518,-64.380539,0.256996,0.000000,0.000000,0.010486,0.600000,0.700000,WALL_FOLLOW_LEFT
45,0.436085,0.715521,-64.047951,0.000000,0.000000,0.000000,0.010958,0.262933,0.157067,SEEK_LIGHT
46,0.439558,0.706143,-64.362106,0.311997,0.000000,0.000000,0.010942,0.600000,0.700000,WALL_FOLLOW_LEFT
47,0.439964,0.696151,-64.000046,0.000000,0.000000,0.000000,0.011767,0.267624,0.152376,SEEK_LIGHT
48,0.443882,0.686951,-64.314201,0.389998,0.000000,0.000000,0.012037,0.600000,0.700000,WALL_FOLLOW_LEFT
49,0.444765,0.676990,-63.930481,0.044998,0.000000,0.000000,0.013158,0.271071,0.148929,SEEK_LIGHT
50,0.449313,0.668084,-64.244637,0.478999,0.189995,0.000000,0.013662,0.600000,0.700000,WALL_FOLLOW_LEFT
51,0.450887,0.658209,-64.558792,0.255996,0.000000,0.000000,0.015035,0.600000,0.700000,WALL_FOLLOW_LEFT
52,0.449332,0.648331,-64.095642,0.000000,0.000000,0.000000,0.017142,0.283713,0.136287,SEEK_LIGHT
53,0.452354,0.638798,-64.409798,0.418998,0.000000,0.000000,0.018586,0.600000,0.700000,WALL_FOLLOW_LEFT
54,0.452282,0.628798,-63.954536,0.000000,0.000000,0.000000,0.020849,0.282457,0.137543,SEEK_LIGHT
55,0.456615,0.619786,-60.812943,0.539001,0.264996,0.000000,0.022342,0.500000,-0.500000,TURN_RIGHT
56,0.452282,0.628798,-57.671349,0.000000,0.000000,0.000000,0.020849,0.500000,-0.500000,TURN_RIGHT
57,0.456615,0.619786,-54.529755,0.539001,0.264996,0.000000,0.022342,0.500000,-0.500000,TURN_RIGHT
58,0.452282,0.628798,-51.388161,0.000000,0.000000,0.000000,0.020849,0.500000,-0.500000,TURN_RIGHT
59,0.456615,0.619786,-48.246567,0.539001,0.264996,0.000000,0.022342,0.500000,-0.500000,TURN_RIGHT
60,0.452282,0.628798,-45.104973,0.000000,0.000000,0.000000,0.020849,0.500000,-0.500000,TURN_RIGHT
61,0.456615,0.619786,-41.963379,0.539001,0.264996,0.000000,0.022342,0.500000,-0.500000,TURN_RIGHT
62,0.452282,0.628798,-38.821785,0.000000,0.000000,0.000000,0.020849,0.500000,-0.500000,TURN_RIGHT
63,0.456615,0.619786,-35.680191,0.539001,0.264996,0.000000,0.022342,0.500000,-0.500000,TURN_RIGHT
64,0.452282,0.628798,-32.538597,0.000000,0.000000,0.000000,0.020849,0.500000,-0.500000,TURN_RIGHT
65,0.456615,0.619786,-29.397005,0.539001,0.264996,0.000000,0.022342,0.500000,-0.500000,TURN_RIGHT
66,0.452282,0.628798,-26.255413,0.000000,0.000000,0.000000,0.020849,0.500000,-0.500000,TURN_RIGHT
67,0.456615,0.619786,-23.113821,0.539001,0.264996,0.000000,0.022342,0.500000,-0.500000,TURN_RIGHT
68,0.452282,0.628798,-19.972229,0.000000,0.000000,0.000000,0.020849,0.500000,-0.500000,TURN_RIGHT
69,0.456615,0.619786,-16.830637,0.539001,0.264996,0.000000,0.022342,0.500000,-0.500000,TURN_RIGHT
70,0.452282,0.628798,-13.689044,0.000000,0.000000,0.000000,0.020849,0.500000,-0.500000,TURN_RIGHT
71,0.456615,0.619786,-10.547451,0.539001,0.264996,0.000000,0.022342,0.500000,-0.500000,TURN_RIGHT
72,0.452282,0.628798,-7.405859,0.000000,0.000000,0.000000,0.020849,0.500000,-0.500000,TURN_RIGHT
73,0.456615,0.619786,-4.264266,0.539001,0.264996,0.000000,0.022342,0.500000,-0.500000,TURN_RIGHT
74,0.452282,0.628798,-1.122673,0.000000,0.000000,0.000000,0.020849,0.500000,-0.500000,TURN_RIGHT
75,0.456615,0.619786,2.018919,0.539001,0.264996,0.000000,0.022342,0.500000,-0.500000,TURN_RIGHT
76,0.452282,0.628798,1.826746,0.000000,0.000000,0.000000,0.020849,0.179415,0.240585,SEEK_LIGHT
77,0.449751,0.638473,1.659157,0.000000,0.000000,0.000000,0.019099,0.183327,0.236673,SEEK_LIGHT
78,0.448868,0.648434,1.512241,0.000000,0.000000,0.000000,0.017202,0.186618,0.233382,SEEK_LIGHT
79,0.449454,0.658417,1.382722,0.000000,0.000000,0.062998,0.015245,0.189386,0.230614,SEEK_LIGHT
80,0.451323,0.668240,1.696881,0.000000,0.000000,0.299996,0.013293,0.700000,0.600000,WALL_FOLLOW_RIGHT
81,0.450066,0.678161,1.512066,0.000000,0.000000,0.000000,0.012056,0.180586,0.239414,SEEK_LIGHT
82,0.450653,0.688144,1.347523,0.000000,0.000000,0.000000,0.010694,0.183812,0.236188,SEEK_LIGHT
83,0.452867,0.697895,1.661682,0.000000,0.000000,0.356997,0.009280,0.700000,0.600000,WALL_FOLLOW_RIGHT
84,0.451959,0.707854,1.439811,0.000000,0.000000,0.000000,0.008566,0.174688,0.245312,SEEK_LIGHT
85,0.453265,0.717768,1.240451,0.000000,0.000000,0.000000,0.007683,0.178271,0.241729,SEEK_LIGHT
86,0.456509,0.727228,1.554610,0.000000,0.000000,0.480999,0.006704,0.700000,0.600000,WALL_FOLLOW_RIGHT
87,0.456671,0.737226,1.295377,0.000000,0.000000,0.000000,0.006396,0.168742,0.251258,SEEK_LIGHT
88,0.459390,0.746850,1.061055,0.000000,0.000000,0.000000,0.005888,0.172707,0.247293,SEEK_LIGHT
89,0.464270,0.755578,-2.080538,0.000000,0.000000,0.631001,0.005248,-0.500000,0.500000,TURN_LEFT
90,0.459390,0.746850,-5.222130,0.000000,0.000000,0.000000,0.005888,-0.500000,0.500000,TURN_LEFT
91,0.464270,0.755578,-8.363723,0.000000,0.000000,0.631001,0.005248,-0.500000,0.500000,TURN_LEFT
92,0.459390,0.746850,-11.505316,0.000000,0.000000,0.000000,0.005888,-0.500000,0.500000,TURN_LEFT
93,0.464270,0.755578,-14.646909,0.000000,0.000000,0.631001,0.005248,-0.500000,0.500000,TURN_LEFT
94,0.459390,0.746850,-17.788502,0.000000,0.000000,0.000000,0.005888,-0.500000,0.500000,TURN_LEFT
95,0.464270,0.755578,-20.930094,0.000000,0.000000,0.631001,0.005248,-0.500000,0.500000,TURN_LEFT
96,0.459391,0.746850,-24.071686,0.000000,0.000000,0.000000,0.005888,-0.500000,0.500000,TURN_LEFT
