# Run 2: x_init=0.663, y_init=0.447, heading_init=-0.531, lightX=0.382, lightY=0.254
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight,state
0,0.671456,0.441966,-1.752034,0.000000,0.000000,0.000000,0.118726,0.505707,0.894293,SEEK_LIGHT
1,0.669654,0.432130,-2.253260,0.000000,0.000000,0.000000,0.114094,0.620227,0.779773,SEEK_LIGHT
2,0.663347,0.424370,-2.459744,0.000000,0.000000,0.000000,0.107812,0.667137,0.732863,SEEK_LIGHT
3,0.655583,0.418067,-2.544923,0.000000,0.000000,0.000000,0.101407,0.686443,0.713557,SEEK_LIGHT
4,0.647311,0.412448,-2.580098,0.000000,0.000000,0.000000,0.095149,0.694402,0.705598,SEEK_LIGHT
5,0.638846,0.407124,-2.594640,0.000000,0.000000,0.006999,0.089081,0.697686,0.702314,SEEK_LIGHT
6,0.630305,0.401923,-2.600658,0.000000,0.000000,0.068997,0.083212,0.699042,0.700958,SEEK_LIGHT
7,0.621733,0.396774,-2.603152,0.000000,0.008999,0.127995,0.077543,0.699603,0.700397,SEEK_LIGHT
8,0.613147,0.391646,-2.604187,0.000000,0.077997,0.187995,0.072074,0.699835,0.700165,SEEK_LIGHT
9,0.604557,0.386527,-2.604616,0.000000,0.144995,0.245996,0.066804,0.699932,0.700068,SEEK_LIGHT
10,0.595964,0.381411,-2.290457,0.000000,0.210995,0.304997,0.061735,0.700000,0.600000,WALL_FOLLOW_RIGHT
11,0.589373,0.373891,-1.976298,0.000000,0.058998,0.277996,0.057109,0.700000,0.600000,WALL_FOLLOW_RIGHT
12,0.585428,0.364702,-2.376777,0.000000,0.000000,0.125996,0.053380,0.636262,0.763738,SEEK_LIGHT
13,0.578213,0.357778,-2.062618,0.000000,0.237995,0.388998,0.049023,0.700000,0.600000,WALL_FOLLOW_RIGHT
14,0.573491,0.348963,-1.748458,0.000000,0.000000,0.304997,0.045451,0.700000,0.600000,WALL_FOLLOW_RIGHT
15,0.571724,0.339120,-2.331778,0.000000,0.000000,0.004000,0.043014,0.607162,0.792838,SEEK_LIGHT
16,0.564827,0.331879,-2.017619,0.000000,0.334997,0.478999,0.039275,0.700000,0.600000,WALL_FOLLOW_RIGHT
17,0.560506,0.322861,-1.703460,0.000000,0.044998,0.401998,0.036401,0.700000,0.600000,WALL_FOLLOW_RIGHT
18,0.559184,0.312948,-1.904724,0.000000,0.000000,0.111996,0.034673,0.177968,0.242032,SEEK_LIGHT
19,0.555906,0.303501,-1.590565,0.000000,0.000000,0.378998,0.032507,0.700000,0.600000,WALL_FOLLOW_RIGHT
20,0.555708,0.293503,-1.829774,0.000000,0.000000,0.000000,0.031556,0.171929,0.248071,SEEK_LIGHT
21,0.553147,0.283836,-1.515615,0.000000,0.000000,0.351997,0.030012,0.700000,0.600000,WALL_FOLLOW_RIGHT
22,0.553699,0.273851,-1.787909,0.000000,0.000000,0.000000,0.029712,0.166663,0.253337,SEEK_LIGHT
23,0.551545,0.264086,-1.473750,0.000000,0.000000,0.331997,0.028694,0.700000,0.600000,WALL_FOLLOW_RIGHT
24,0.552514,0.254133,-1.774217,0.000000,0.000000,0.000000,0.028928,0.162179,0.257821,SEEK_LIGHT
25,0.550494,0.244339,-1.460058,0.000000,0.000000,0.331997,0.028346,0.700000,0.600000,WALL_FOLLOW_RIGHT
26,0.551599,0.234401,-1.783890,0.000000,0.000000,0.000000,0.029017,0.158461,0.261539,SEEK_LIGHT
