# Run 8: x_init=0.340, y_init=0.249, heading_init=1.076, lightX=0.610, lightY=0.426
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight,state
0,0.344376,0.257928,0.769615,0.000000,0.000000,0.000000,0.098668,0.651172,0.748828,SEEK_LIGHT
1,0.351558,0.264887,0.642894,0.000000,0.000000,0.000000,0.092616,0.679832,0.720168,SEEK_LIGHT
2,0.359562,0.270882,0.590485,0.000000,0.000000,0.000000,0.086652,0.691659,0.708341,SEEK_LIGHT
3,0.367868,0.276450,0.568785,0.000000,0.000000,0.025999,0.080868,0.696546,0.703454,SEEK_LIGHT
4,0.376294,0.281836,0.559788,0.000000,0.000000,0.088997,0.075281,0.698568,0.701432,SEEK_LIGHT
5,0.384768,0.287146,0.556053,0.000000,0.025999,0.148995,0.069894,0.699406,0.700594,SEEK_LIGHT
6,0.393261,0.292424,0.554501,0.000000,0.094997,0.207995,0.064706,0.699753,0.700247,SEEK_LIGHT
7,0.401763,0.297689,0.553855,0.000000,0.161994,0.266996,0.059719,0.699897,0.700103,SEEK_LIGHT
8,0.410268,0.302949,0.868014,0.000000,0.229995,0.324997,0.054931,0.700000,0.600000,WALL_FOLLOW_RIGHT
9,0.416731,0.310579,1.182173,0.000000,0.073997,0.295996,0.050574,0.700000,0.600000,WALL_FOLLOW_RIGHT
10,0.420520,0.319834,0.780083,0.000000,0.000000,0.140995,0.047073,0.636005,0.763995,SEEK_LIGHT
11,0.427629,0.326867,1.094242,0.000000,0.253996,0.405998,0.042989,0.700000,0.600000,WALL_FOLLOW_RIGHT
12,0.432216,0.335753,1.408401,0.000000,0.000000,0.320997,0.039655,0.700000,0.600000,WALL_FOLLOW_RIGHT
13,0.433833,0.345621,1.232182,0.000000,0.000000,0.013999,0.037397,0.181954,0.238046,SEEK_LIGHT
14,0.437155,0.355054,1.080742,0.000000,0.000000,0.272996,0.034810,0.185897,0.234103,SEEK_LIGHT
15,0.441861,0.363877,1.394901,0.000000,0.108996,0.417998,0.032032,0.700000,0.600000,WALL_FOLLOW_RIGHT
16,0.443611,0.373722,2.337379,0.000000,0.000000,0.175994,0.030319,0.800000,0.500000,WALL_FOLLOW_RIGHT
17,0.436675,0.380925,1.962663,0.000000,0.000000,0.000000,0.031967,0.150362,0.269638,SEEK_LIGHT
18,0.432855,0.390167,1.645507,0.000000,0.000000,0.000000,0.032553,0.159523,0.260477,SEEK_LIGHT
19,0.432109,0.400139,1.375482,0.000000,0.000000,0.000000,0.032200,0.167024,0.252976,SEEK_LIGHT
20,0.434050,0.409949,1.144437,0.000000,0.000000,0.071997,0.031101,0.173228,0.246772,SEEK_LIGHT
21,0.438185,0.419054,1.458596,0.000000,0.000000,0.347997,0.029453,0.700000,0.600000,WALL_FOLLOW_RIGHT
22,0.439305,0.428991,1.193029,0.000000,0.000000,0.003000,0.029029,0.167734,0.252266,SEEK_LIGHT
23,0.442993,0.438286,1.507188,0.000000,0.000000,0.364998,0.027925,0.700000,0.600000,WALL_FOLLOW_RIGHT
24,0.443629,0.448266,1.212040,0.000000,0.000000,0.000000,0.028056,0.163026,0.256974,SEEK_LIGHT
25,0.447140,0.457629,1.526199,0.000000,0.000000,0.396998,0.027404,0.700000,0.600000,WALL_FOLLOW_RIGHT
26,0.447586,0.467619,1.206377,0.000000,0.000000,0.000000,0.027989,0.159099,0.260901,SEEK_LIGHT
27,0.451150,0.476962,1.520536,0.000000,0.018999,0.442999,0.027709,0.700000,0.600000,WALL_FOLLOW_RIGHT
28,0.451652,0.486950,1.180704,0.000000,0.000000,0.085997,0.028665,0.155914,0.264086,SEEK_LIGHT
29,0.455455,0.496199,-1.960889,0.000000,0.151995,0.502000,0.028688,-0.500000,0.500000,TURN_LEFT
30,0.451652,0.486950,-5.102482,0.000000,0.000000,0.000000,0.028665,-0.500000,0.500000,TURN_LEFT
31,0.455455,0.496199,-8.244075,0.000000,0.151995,0.502000,0.028688,-0.500000,0.500000,TURN_LEFT
