time,value
0.100000,2.187379e-01
0.200000,6.664774e-01
0.300000,8.669125e-01
0.400000,4.499632e-01
0.500000,9.652357e-01
0.600000,1.308675e-01
0.700000,4.435907e-01
0.800000,9.625902e-01
0.900000,1.404403e-01
1.000000,4.707956e-01
